Date,Mkt-RF,SMB,HML,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
196406,1.42,-0.94,1.99,2.33,0.49,-1.54,-1.07,3.82,0.18,4.12,0.59,-0.57,-0.39,0.29,0.9,4.01,-0.16,1.52,3.11,-1.06,-2.34,0.71,2.2,4.76,5.95,0.44,0.97,3.84,3.45,3.91,2.49,-1.18,-1.4
196407,1.27,-0.27,0.72,1.23,7.9,0.41,0.28,-0.25,0.72,4.68,4.76,2.16,5.81,1.39,0.62,1.84,7.68,5.43,5.93,2.59,1.41,3.37,4.91,-1.99,3.16,-1.91,0.82,0.23,2.67,1.12,0.94,1.89,2.94
196408,1.74,0.26,0.73,-1.3,-1.87,6.6,-3.34,-1.39,-1.47,-0.89,-4.22,-2.26,-1.78,-1.64,-0.07,-0.85,2.75,1.78,3.15,0.26,-0.5,-1.88,-0.01,-1.53,3.52,-2.89,-1.88,-5.78,-4.66,0.6,-3.57,-2.14,0.77
196409,-1.44,0.11,0.07,1.97,1.65,-1.97,5.59,2.25,5.72,3.96,2.73,5.35,4.33,0.05,5.5,3.37,4.06,5.19,5.62,10.69,5.32,3.05,1.87,-1.02,0.84,1.18,4.05,4.78,2.65,3.48,3.81,2.5,4.22
196410,2.69,-0.53,1.72,-1.17,2.4,-2.06,0.88,2.49,-1.15,0.45,2.88,0.93,7.31,2.17,-2.62,2.03,6.04,0.19,0.63,0.14,0.04,3.11,0.95,-0.89,1.62,-1.03,2.17,4.24,1.27,2.31,5.78,-0.64,-0.25
196411,0.59,0.42,1.15,1.22,-1.41,-1.63,-1.94,1.78,0.95,2.78,2.17,2.35,0.38,-0.71,-4.82,1.52,0.71,-2.7,0.54,0.29,0.97,2.59,1.37,-2.23,-2.18,-0.19,-2.66,-3.54,2.06,3.36,1.11,-0.89,0.96
196412,0,0.6,-1.95,1.18,-0.18,-4.68,-1.38,0.92,0.68,-0.57,4.38,0.46,0.63,-1.04,-1.71,-2.99,-2.72,1.94,0.06,-1.15,1.76,-0.27,0.5,3.1,-0.42,-0.01,-2.37,-2.47,0.93,0.12,-0.34,-1.2,-3.91
196501,0.03,-0.26,-2.52,5.04,12.15,5.37,8.44,8.68,6.52,7.83,7.66,5.68,8.44,5.45,4.91,4.42,9.84,2.92,2.77,8.25,3.73,0.45,3.96,0.27,7.99,7.43,6.61,4.74,5.84,2.73,9.47,2.72,5.19
196502,3.54,2.72,0.16,1.32,1.9,-0.04,5.07,1.35,2.78,6.4,2.42,0.91,2.28,3.26,2.98,6.1,5.18,-1.26,3.53,4.77,-0.51,-3.43,0.43,0.79,3.18,2.16,-0.58,2.61,2.82,1.34,3.02,1.25,5.87
196503,0.44,3.5,0.16,-1.46,0.59,-0.87,3.75,2.87,-1.9,0.96,-0.92,-3.01,0.84,0.26,0.03,-2.32,-0.75,1.91,0.87,-0.65,-0.1,-3.1,-0.52,-1.68,3.25,-0.47,1.05,-0.5,0.81,-0.98,0.3,-0.33,4.72
196504,-1.34,1.81,1.05,2.87,5.52,5.61,3.87,5.54,5.78,4.85,2.98,1.94,8.98,2.74,5.21,4.82,5.15,7.34,7.74,4.07,-2.07,0.9,0.65,2.3,4.28,5.22,3.12,0.86,5.74,7.04,3.14,2.56,2.51
196505,3.11,1.2,0.68,-0.93,-0.31,-1.65,2.01,0.55,-0.51,1.06,-1.24,0.53,-1.22,-0.76,-0.74,-2.66,0.79,-4.25,0.21,-2.12,-2.48,0.94,-0.97,2.79,-2.92,0.58,-1.67,-0.8,-0.84,0.33,-3.06,-2.35,-1.52
196506,-0.77,0.06,-1.63,-4.33,-4.56,-3.41,-9.69,-6.39,-5.36,-9.1,-5.31,-5.75,-7.94,-7.07,-6.86,-6.25,-7.96,-7.18,-7.15,-9.98,-5.99,-1.89,-3.66,-4.14,-9.15,-5.63,-5.88,-6.86,-9.34,-6.1,-6.72,-4.91,-11.7
196507,-5.51,-4.36,0.56,1.22,-0.36,1.74,5.7,3.56,4.46,2.59,3.95,0.06,2.97,0.57,3.11,1.57,4.69,1.64,9.64,7.75,1.92,1.81,1.06,-0.38,4.19,3.47,-0.6,4.64,5.56,-1.86,1.33,1.13,7.43
196508,1.43,0.87,2.18,1.77,3.77,9.45,6.74,7.2,6.53,6.99,6.29,1.53,6.06,2.6,2.74,4.27,6.55,2.53,2.98,3.37,3.27,1.52,0.92,1.33,3.63,6.05,3.37,6.48,5.08,2.09,5.2,4.54,5.09
196509,2.73,2.81,-0.96,0.21,-0.32,-2.65,11.6,2.42,5.89,2.17,2.24,3.94,4.96,2.4,2.08,6.27,5.21,4.86,10.63,0.58,0.32,4.45,1.39,1.09,4.16,5.47,3.75,3.14,7.48,-1.18,4.37,-0.1,4.09
196510,2.86,0.62,-0.09,0.99,2.54,4.42,11.63,6.01,4.34,4.85,3.23,2.87,5.29,4.45,5.27,5.41,5.78,6.6,7.74,4.44,15.55,1.58,1.05,-2.29,4.49,5.26,3.28,6.68,3.48,0.01,5.17,1.15,2.64
196511,2.6,2.47,1.54,0.27,0.94,-4.65,11.49,7.46,0.93,2.29,3.8,-1.91,7.64,0.85,-4.37,5.3,8.25,-5,15.23,2.35,-0.81,0.74,-1,-4.32,2.3,2.44,1.98,6.53,5.68,1.13,2.16,1.04,9.45
196512,-0.03,4.68,0.21,1.02,2.64,-1.02,3.93,3.62,4.42,1.74,3.83,2.38,1.68,1.92,8.1,1.72,-0.48,0.88,-1.91,8.74,0.7,0.15,-0.31,-0.86,8.22,-1.6,2.25,2.4,3.79,1.19,4,1.96,-0.88
196601,1.01,2.08,1.96,0.15,1.25,2.9,10.89,1.76,2.06,4.36,2.74,-0.78,8.38,3.67,4.35,2.61,4.07,0.26,9.27,12.12,1.11,1.03,-3.02,-1.3,2.46,1.08,4.53,7.16,6.97,-5.21,3.07,0.56,3.75
196602,0.72,3.88,3.51,-0.88,-2.85,-2.32,7.43,0.44,-0.68,3.02,-1.55,-1.92,0.44,-0.83,-1.9,-1.01,1.23,-1.62,-0.64,9.43,-0.02,-3.56,-4.17,0.48,2.49,5.36,-0.06,3.44,2.4,-2.2,-1.42,-2.09,0.68
196603,-1.21,4.54,0.27,-2.36,-4.14,-3.38,2.81,2.86,2.58,-3.71,-1.6,-4.55,-4.47,-3,-2.3,-1.75,0.89,-5.22,-1.37,-4.28,0.17,-2.28,-0.14,-4.84,-3.15,-0.94,-3.54,-1.84,-3.03,-2.3,3.13,-4.07,-2.6
196604,-2.51,0.94,-2.07,-0.9,3.2,-1.08,5.77,3.83,5.49,2.86,-0.02,0.31,0.8,1.67,1.73,1.43,3.77,-1.37,3.76,3.1,0.92,3.18,1.19,1.26,3.37,7.69,3.61,4.51,12.15,2.46,6.95,1.3,10.16
196605,2.14,3.45,-0.54,-3.67,-6.27,-3.88,-13.71,-5.42,-5.86,-7.81,-5.26,-4.56,-8.65,-5.82,-7.91,-5.57,-8.61,-6.68,-8.53,-8.17,-2.54,-3.75,-2.73,-2.98,-10.98,-6.03,-4.59,-9.69,-9.94,-2.41,-4.37,-3.9,-9.89
196606,-5.66,-4.68,-1.57,-3.04,3.29,-2,-5.15,2.42,0.91,-2.31,0.99,-3.88,-1.98,-2.02,-0.89,-1.46,-2.81,-1.53,1.05,-0.07,-8.51,-2.15,-1.78,0.49,-0.51,-0.13,-0.59,3.44,1.13,-2.65,0.71,-2.09,-0.8
196607,-1.44,1.02,0.5,-0.4,-3.96,-0.45,-3.28,-0.8,-2.39,-2.04,-1.72,-1.16,-5.16,-1.44,-4.08,-3.13,-5.36,0.44,-7.18,-0.4,3.34,0.35,-0.18,-1.17,-3.74,-1.71,2.27,-2.43,-3.28,-1.83,-2.88,-2.05,-4.71
196608,-1.63,-0.46,0.99,-6.07,-6.86,-5.46,-3.08,-9.18,-8.29,-9.59,-8.07,-9.04,-9.78,-10.23,-7.49,-7.8,-9,-7.67,-7.89,-13.09,4.76,-6.56,-8.59,-4.6,-9.39,-5.88,-5.63,-13.26,-11.06,-5.97,-10.16,-8.78,-9.01
196609,-7.91,-3.22,0.44,-1.04,-3.47,0.38,-12.1,0.75,-2.75,-1.74,-1.13,-7.21,-6.91,-2.3,-2.29,-5.53,0.3,0.79,-3.72,-2.9,3.9,3.96,4.36,-0.57,-3.3,-1.88,-0.78,-2.13,-2.22,-1.67,-9.12,-0.07,-3.88
196610,-1.06,-1.06,0.49,8.23,4.39,6.85,-6.35,-0.49,3.85,-2.68,4.87,1.91,-6.16,1.16,6.77,2.51,2.51,0,-1.72,-1.61,-1.62,8.59,9.94,9.19,-2.75,0.45,1.4,-0.37,1.06,-1.52,-3.92,10.32,-4.64
196611,3.86,-6.62,2.86,2.39,6.7,-3.94,3.94,9.37,7.35,4.17,6.89,-1.68,-2.49,4.62,-0.26,1.05,7.61,-6.87,14.94,10.06,6.15,-1.23,-1.36,-2.84,6.71,10.99,0.64,10.82,8.84,0.3,2.31,3.03,7.27
196612,1.4,4.23,-4.53,-0.53,3.3,-1.55,-4.65,3.03,-1.23,-0.8,-0.17,2.16,2.48,2.21,3.26,1.39,-2.86,-0.61,1.97,2.11,7.19,-0.75,2.1,2.98,3.73,0.37,-0.62,0.55,1.39,-4.72,5.96,3.45,9.36
196701,0.13,1.95,-1.28,6.37,9.98,16.41,18.54,11.62,6.16,11.24,6.41,11.81,13.04,14.99,15.43,13.15,16.17,13.94,11.08,12.86,7.02,3.53,2.84,6.23,19.59,9.85,8.89,12.44,16.76,11.52,15.2,9.02,8.24
196702,8.15,8.25,2.45,1.63,3.76,-3.31,1.57,5.03,4.48,3.32,1.42,-0.75,3.8,2.51,-3.4,-1.45,5.05,-1.07,2.04,-1.6,3.1,-0.13,-1.72,2.15,0.15,6.29,1.07,-1.04,11.36,2.51,5.79,0.18,5.77
196703,0.78,3.31,-2.15,3.57,8.31,4.91,-0.21,7.59,3.99,3.97,7.83,3.84,2.11,8.6,5.16,11.24,4.19,5.84,7.43,4.29,9.84,3.5,1.53,2.94,4.45,5.31,6.78,3.7,4.2,2,15.5,1.29,2.6
196704,3.99,1.54,0.46,4.15,6.11,3.46,10.5,6.26,4.66,2.88,4.46,5.67,7.07,3.89,3.17,4.81,5.05,9.31,5.37,5.8,5.77,1.64,1.88,0.19,7.81,7.93,1.8,0.93,2.66,9.75,9.23,0.47,1.81
196705,3.89,0.63,-2.52,-1.57,-5.43,-7.55,-7.27,-3.62,-5.57,-0.05,-5.29,-5.63,-2.17,-5.4,-1.92,-2.67,-3.49,-6.47,0.02,1.35,-0.5,-2.44,-4.11,-5.67,-1.37,-4.7,-2.3,-1.67,3.34,-5.46,1.58,-2.38,0.63
196706,-4.33,1.95,0.99,3.93,4.14,6.64,10.82,-5.83,1.54,4.67,5.38,-0.28,-0.88,4.46,1.47,4.22,6.64,0.9,10.76,5.35,6.6,2.22,-1.31,2.72,9.35,6.19,-1.73,1.21,8.34,3.36,13.24,3.76,7.18
196707,2.41,5.95,0.95,5.76,2.69,8.33,6.34,4.58,6.45,4.98,3.79,4.17,8.33,7.21,7.74,6.08,8.98,8.69,4.31,14.04,3.24,6.96,2.33,-6.62,7.19,3.81,4.17,7.3,5.23,6.22,1.65,6.96,8.72
196708,4.58,3.02,2.8,-1.67,0.56,-4.88,0.77,-0.65,-0.44,5.34,0.66,-0.32,2.53,2.85,0.77,-0.11,3.33,-0.71,-4.04,-3.37,0.48,-1.5,-0.65,-1.25,2.25,-0.9,-1.79,-2.46,2.68,0.45,-0.38,2.11,-5.08
196709,-0.89,0.47,1.39,2.63,-1.43,-1.81,6.07,2.19,3.37,7.78,2.89,5.65,10.47,3.32,0.25,4.15,5.66,5.27,-2.64,6.69,4.97,4.2,-0.09,1.2,8.17,8.59,2.59,-3.47,6.45,1.78,9.12,3.18,5.89
196710,3.11,3.11,-2.48,-3.39,-3.23,3.39,-0.18,-6.49,0.35,1.01,-5.01,-6.52,-3.03,-5.13,-10.05,-6.28,-2.91,-5.43,-4.09,-6.63,-0.21,-1.02,-5.36,-3.49,4.51,5.14,-3.9,-9.27,0.01,0.56,9.81,-4,-4.78
196711,-3.09,1.42,-3.38,0.8,-0.82,-5.15,-3.98,3.38,2.7,2.76,1.33,-2.84,-0.82,-1.83,-0.13,-0.2,0.62,0.79,2.36,1.5,-3.01,0.84,3.17,0.09,0.88,1.38,-0.01,-0.11,0.22,0.56,8.3,-1.37,-1.64
196712,0.37,0.21,-1.7,2.72,-0.37,8.02,2.75,0.05,2.18,7.33,1.62,5.97,1.8,5.9,4.73,4.25,4.88,4.04,4.81,5.48,6.08,3.04,3.28,0.13,15.85,1.71,6.19,2.2,11.86,2.74,7.62,7.32,5.4
196801,3.05,5.74,-0.45,-1.04,-0.82,-0.06,-3.87,-3.98,-10.33,0.85,-6.57,-4.97,2.36,0.03,-4.73,-3.7,-9,-4.37,-11.08,-3.18,2.45,-0.94,0.2,2.69,-2.09,-8.71,-3.62,-6.49,1.63,1.28,-3.76,2.89,-0.24
196802,-4.06,3.88,4.79,-2.31,-1.48,1.16,-5.67,-5.16,-2.84,-5.46,-4.24,-4.36,-2,-3.87,-4.18,-6.38,-4.36,-3.02,-3.77,-0.47,-6.98,-2.6,-1.48,-2.4,-7.78,-4.33,-4.34,-3.43,-11.15,0.14,-7.63,-2.85,-7.69
196803,-3.75,-2.96,1.18,0.37,2.27,-1.78,5.4,2.11,3.49,3.94,0.1,-0.52,-1.21,0.33,-0.7,-0.89,-0.79,-0.47,0.57,-1.12,4.56,0.7,-3.93,-1.12,-0.22,4.39,1.61,-1.45,-1.95,3.19,2.49,0.85,-1.27
196804,0.2,-1.28,-0.62,10.57,5.6,5.54,16.86,14.11,11.13,14.63,11.9,7.94,12.59,15.13,7.18,11.95,14.74,11.79,11.06,6.62,13.17,5.61,2.49,2.22,18.94,12.25,12.57,11.96,16.42,11.94,18.36,11.37,16.15
196805,9.05,5.77,-1.14,5.27,3.88,0.52,6.38,3.42,2.25,6.78,3.34,-0.82,5.4,5.42,5.16,3.43,1.83,0.6,1.34,3.7,11.01,1.16,0.45,-0.74,3.96,3.73,5.69,6.42,9.64,2.74,13.75,6.61,6.18
196806,2.28,6.42,0.86,1.07,2.06,4.3,-4.81,-0.32,-2.15,3.91,2.25,0.89,-1.93,-0.94,0.65,0.52,-1.52,-0.4,-1.88,-0.05,0.49,1.85,8.44,4.15,0.54,-1.91,0.6,1.45,-0.47,0.6,0.48,7.76,-2.36
196807,0.69,-0.18,0.68,-4.29,0.7,-1.39,-4.12,-6.47,-5.4,-2.94,-4.1,-1.05,-4.06,-0.17,-6.85,-4.57,-4.04,-2.32,-6.79,-6.61,-2,5.35,0.17,-0.19,-5.03,-5.58,-3.86,-4.92,-8.11,-4.94,-6.64,0.79,-5.03
196808,-2.72,-1.3,5.41,2.07,7.73,-3.19,4.47,-0.12,2.14,5.03,0.68,2.55,8.82,8.06,1.69,4.1,0.97,1.56,0.63,-1.73,-1.48,1.27,-0.87,1.26,0.17,0.53,5.91,-0.14,0.31,2.29,5.88,5.61,4.77
196809,1.34,2.35,1.01,3.86,5,5.7,12.84,4.97,1.95,3.86,0.85,6.98,7.48,5.05,7.78,4.92,4.13,7.05,2.47,3.91,7.04,3.51,0.27,2.95,10.22,2.81,3.82,11.4,9.04,7.65,7.98,9.11,8.97
196810,4.03,2.76,0.33,1.02,-5.03,1.57,-0.57,3.43,0.82,1.69,-0.05,2.23,2.13,-2,2.87,1.52,-0.82,3.99,-1.49,-0.95,-4.96,2.61,0.49,3.17,0.15,-5.11,5.1,-0.31,3.94,0.38,6.74,3.09,-1.81
196811,0.42,-0.48,2.85,5.58,5.21,3.04,6.45,1.57,6.97,4.55,8.1,4.82,5.21,6.48,5.37,5.07,5.32,-2.34,7.86,9.76,9.38,5.5,8.79,5.39,6.58,8.68,5.49,7.86,10.8,4.57,9.57,6.53,9.51
196812,5.43,2.35,-0.9,-1.7,-0.55,10.29,-4.19,-4.95,-6.97,-1.29,-1.03,-2.6,-3.48,-1.83,0.69,-2.38,-5.4,-3.96,-2.7,2.9,0.16,-2.59,-2.88,-6.64,-4.47,-5.48,-4.14,-3.92,-0.95,-4.96,1.61,-6.11,0.03
196901,-3.94,3.43,0,-0.74,-0.46,3.64,-2.37,-4.45,0.09,-0.61,-0.23,-1.62,-4.26,-1.53,2.82,-0.49,-1.81,-1.41,-3.01,-2.89,0.97,-1.15,2.41,1.2,2.42,-4.79,-1.49,3.01,-1.66,-0.74,-0.97,-0.04,-3.59
196902,-1.25,-0.77,1.66,-5.64,-5.03,-9.5,-6.85,-7,-4.65,-9.54,-5.14,-5.63,-8.01,-5.95,-8.49,-6.49,-4.01,-2.57,-7.77,-7.02,-7.28,-4.58,-5.2,-3.32,-9.65,-3.42,-4.52,-8.24,-13.44,-2.85,-11.86,-8.66,-9.51
196903,-5.84,-3.9,0.86,1.05,1.68,-1.71,0.93,3.69,2.2,1.18,3.34,0.31,-3.27,4.38,2.9,2.83,3.45,4.81,-1.42,-1.08,-5.89,7.2,-1.29,-0.42,2.4,5.64,8.36,-3.17,3.37,5.65,3.42,3.49,1.34
196904,2.64,-0.26,-0.52,2.14,1.14,-1.98,5.91,0,5.02,-1.39,4.98,-1.19,-0.19,2.27,0.59,-0.79,-0.95,-0.03,-3.7,1.06,-10.59,-0.27,1.34,7.73,1.95,4.04,4.16,-1.43,3.44,3.7,6.68,2.97,-0.44
196905,1.46,-0.87,-0.03,1.64,2.97,1.71,-3.54,2.04,0.16,-1.93,1.66,-0.52,0.9,-0.68,-2.89,-1.05,-0.52,0.67,-6.84,1.8,0.4,3.72,0.02,1.06,-1.99,-1.7,0.14,-2.02,-4.58,0.88,3.02,-1.18,-0.26
196906,-0.1,-0.26,0.71,-6.03,-8.04,-5.5,-12.71,-10.63,-1.69,-8.68,-5.03,-7.54,-10.25,-11.89,-10.31,-8.92,-6.37,-5.97,-9.08,-12.81,-10.35,-9.89,-5.74,-3.98,-9.75,0.15,-8.83,-8.18,-16.88,-4.16,-10.03,-10.22,-11.93
196907,-7.18,-5.39,-1.1,-6.09,-2.07,-4.76,-8.58,-10.86,-3.46,-12.05,-2.73,-4.22,-6.23,-7.07,-6.52,-6.53,-8.63,-7.76,-12.87,-9.83,5.58,-9.73,-2.98,-4.49,-7.46,-5.28,-3.33,-12.52,-9.94,-8.28,-10.35,-8.7,-10.88
196908,-7,-3.2,1.22,4.79,6.67,3.99,8.03,9.1,4.75,2.51,9.2,3.31,4.19,8.46,0.39,3.08,4.61,2.79,5.66,5.1,4.78,6.6,-1.29,1.66,9.82,7.03,5.39,5.56,6.31,8.28,8.86,10.55,3.08
196909,4.68,0.93,-3.83,0.99,-0.93,4.14,1.47,-0.18,-0.54,-2.7,2.17,-5.45,-3.05,-3.48,-1.04,-2.96,-1.75,-0.91,-4.71,2.02,-0.55,-9.71,-4.14,-4,2,0.35,0.11,-1.62,0.34,-0.76,-1.02,-0.74,-0.92
196910,-2.98,1.18,-3.27,7.77,11.63,12.42,8.59,7.86,6.39,7.31,8.97,4.53,6.76,8.73,8.16,4.84,10.67,4.94,6.24,1.25,10.76,-1.17,8.28,3.5,11.47,5.51,4.78,4.76,11.2,6.25,8.97,9.05,8.08
196911,5.06,3.84,-3.04,-1.92,-2.82,0.61,-6.65,-4.18,-2.43,-3.09,0.34,-4.57,-4.25,-3.77,-4.58,-3.43,-3.43,-4.12,-8.49,0.05,3.98,-4.57,-5.26,1.18,-2.58,-1.78,-2.51,-7.96,-6.71,-4.11,-2.47,-6.82,-6.65
196912,-3.79,-2.54,-1.15,-0.44,-0.61,-1.94,-5.44,-3.07,0.96,-6.04,4.3,-3.66,-5.63,-3.31,-1.3,-2.31,-2.55,-3.18,-5.97,-3.99,5.11,-3.07,-0.65,-5.51,0.16,-0.62,-2.06,-8,-3.94,-2.77,-5.16,-2.29,-5.46
197001,-2.63,-3.65,-3,-2.74,-1.35,-6.99,-7.16,-11.45,-6.9,-5.09,-7.11,-6.77,-4.66,-9.24,-5.71,-6.55,-6.29,-8.75,-11.89,-1.74,-0.17,-11.56,-4.23,-2.56,-10.57,-9.13,-8.29,-7.57,-7.68,-5.71,-12.52,-9.18,-5.6
197002,-8.1,2.91,3.15,5.42,6.87,0.28,6.85,1.29,0.28,3.22,5.57,3.76,5.01,8.73,11.01,6.4,8.3,7.67,5.39,5.96,16.82,5.22,8.36,7.95,2.67,2.92,5.49,10.43,1.81,5.77,6.59,11.15,4.05
197003,5.13,-2.41,4.02,-0.93,-0.6,1.42,-2.72,-3.26,-0.96,-1.09,-5.1,0.83,1.12,-1.37,0.81,2.54,2.42,4.75,-2.33,-1.49,-3.29,-0.38,2.91,2.29,-4.91,-2.53,-1.09,-3.34,-5.28,-1.03,-7.34,-0.78,-2.19
197004,-1.06,-2.32,4.09,-10.14,-9.41,-2.82,-20.63,-15.56,-7.92,-14.35,-10.12,-4.31,-7.61,-10.54,-9.43,-11.57,-8.38,-9.06,-14.33,-13.39,-14.7,-9.07,-8.06,-8.79,-21.72,-14.29,-9.28,-11.98,-20.56,-10.08,-19.85,-12.8,-14.25
197005,-11,-6.09,6.21,-7.27,-6.1,3.54,-9.81,-16.08,-8.24,-10.19,-7.74,-2.84,-10.31,-9.39,-9.37,-9.76,-8.46,-4.99,-8.73,-3.52,5.87,2.62,-5.36,-3.74,-11.2,-9.62,-8.76,-7.05,-11.59,-9.46,-13.97,-8.35,-10.89
197006,-6.92,-4.54,3.43,-0.62,-2.66,6.67,-9.59,-9.57,-5.03,-7.11,-0.48,-1.58,-2.53,-5.74,-6.48,-4.83,0.64,-3.02,-10.82,-1.16,-3.03,-2.43,-4.7,-8.48,-8.1,-11.89,-5.63,-15.33,-6.96,-3.81,-6.45,-4.62,-9.49
197007,-5.79,-2.14,0.6,5.59,6.75,3.5,8.45,12.43,4.58,8.26,2.14,8.53,10.61,9.77,3.53,3.61,5.36,8.69,4.35,2.32,6.33,12.84,8.71,10.27,6.82,2.29,6.89,8.37,4.51,11.78,2.4,8.77,9.42
197008,6.93,-0.55,1.01,-0.23,-2.7,0.64,8.71,5.99,4.23,7.25,1.8,5.29,4.56,3.77,0,4.41,2.45,9.08,9.91,4.57,-2.93,6.62,4.67,2.5,3.43,8.09,7.24,8.39,6.6,5.04,6.5,5.02,6.16
197009,4.49,1.53,1.02,4.95,4.48,0.52,10.44,7.4,6.4,12.06,8.01,-1.23,5.99,7.46,4.19,8.17,3.15,1.57,8.98,8.18,24.1,3.05,-0.54,-0.93,14.29,10.01,0.46,9.04,16.06,6.84,17.19,5.27,6.56
197010,4.18,8.56,-5.63,1.11,-1.02,10.36,-4.27,-2.23,-0.18,-3.63,0.31,-4.08,-1.9,-4.02,-4.98,-3.48,0.11,-2.82,-9.95,-4.78,6.32,2.93,-0.8,-3.75,-5.91,-3.5,-3.92,-5.02,-7.67,-0.95,-2.62,-7.29,-8.75
197011,-2.28,-4.28,0.25,5.75,-0.85,10.05,7.82,2.22,4.88,2.5,2.97,4.59,2.71,1.59,1.94,3.11,3.73,8.16,4.58,-1.74,8.88,4.85,9.39,6.11,3.03,4.04,0.1,3.6,-1.11,7.75,3.94,5.91,6.34
197012,4.6,-4.07,1.67,6.28,4.29,2.67,4.51,12.74,5.67,14.13,5.34,9.83,13.32,9.25,7.44,12.05,3.68,6.19,5.58,5.72,5.59,2.23,7.13,6.85,3.76,4.46,9.81,10.57,11.13,4.87,6.3,9.58,8.35
197101,5.72,3,0.86,2.73,4.51,5.75,11.56,5.59,5.15,12.63,4.92,7,6.3,6.23,4.29,8.24,7.52,1.96,16.6,5.89,3.37,0.31,2.95,9.75,8.61,5.33,5.42,15.83,13.94,7.86,7.05,5.25,14.19
197102,4.84,7.37,1.33,2.36,1.66,5.07,5.89,7.11,1.69,6.05,1.31,1.79,6.36,0.22,-0.12,0.93,7.12,0.19,4.26,3.35,3.75,4.76,-2.58,-5.3,3.73,2.75,2.22,2.76,1.88,3.6,6.39,1.85,2.82
