,att1,att2,att3,att4,att5,att6,class
209,1,3,1,1228,1148,1249,3
1814,1,3,1,320,1431,1824,1
1090,1,4,2,1371,174,1075,4
1104,2,2,2,492,1249,984,7
466,2,2,2,1373,629,1152,7
353,3,1,3,989,601,540,9
1680,2,2,2,1403,1136,1248,5
1985,2,2,2,626,761,1241,7
194,1,4,2,626,651,1738,2
1673,1,3,1,1046,138,1552,8
1729,1,4,2,674,1567,1778,2
756,1,4,2,413,808,1288,8
309,1,4,2,1056,118,1753,2
1341,3,1,3,453,870,545,9
611,1,4,2,718,1473,131,2
1162,1,3,1,59,500,165,3
1625,1,3,1,316,683,1693,1
1834,1,3,1,422,406,1309,6
1904,2,1,1,1337,44,282,0
741,2,1,1,1352,419,396,0
1720,1,4,2,1079,126,1830,2
1804,1,3,1,826,1297,890,6
1032,3,1,3,186,913,660,9
947,1,3,1,222,586,1331,1
1134,1,3,1,1703,1441,854,4
511,1,5,2,1440,909,1804,2
1430,1,4,2,1484,179,68,2
884,2,1,1,1281,1791,532,0
1512,1,4,2,823,1783,1211,3
967,1,4,2,1490,238,72,2
1823,2,2,2,1351,1877,994,5
480,3,1,3,582,388,597,9
1165,1,4,2,470,1599,923,4
1326,3,1,3,155,203,611,9
1501,2,1,1,931,180,296,0
1094,1,3,1,1694,1390,1514,1
144,2,1,1,1692,1134,278,0
1323,1,3,1,861,26,641,4
1728,2,2,2,227,1338,1267,5
347,1,3,1,142,1533,642,4
137,2,2,2,1267,1159,1132,5
1060,1,4,2,75,347,1276,3
1613,2,2,2,200,648,1057,5
441,3,1,3,1670,1342,450,9
1923,1,4,2,1592,920,824,3
95,1,4,2,1582,815,530,8
1854,1,3,1,347,759,49,6
1910,2,2,2,210,289,1285,7
302,2,2,2,515,1277,952,7
262,1,4,2,107,371,1882,3
1346,2,2,2,1043,1727,1371,7
70,2,2,2,598,267,1193,7
1080,1,4,2,600,355,1521,2
1139,2,2,2,586,221,1124,5
1426,1,3,1,394,1825,826,3
1095,3,1,3,545,698,452,9
737,1,3,1,1594,1206,1148,3
1227,1,4,2,1632,1257,1459,3
795,1,3,1,1587,880,705,3
641,2,2,2,456,1482,1100,7
1524,2,2,2,1270,1272,986,5
1945,1,3,1,770,1782,140,6
1421,1,4,2,270,1600,1843,8
1868,2,2,2,1451,1549,1526,5
166,1,4,2,1195,1579,804,8
1403,3,1,3,911,1479,683,9
965,2,2,2,693,1198,1097,5
758,3,1,3,459,1804,551,9
424,2,2,2,310,1108,1694,7
959,1,3,1,1186,680,560,6
503,1,3,1,880,1336,830,4
1414,2,2,2,229,1094,1289,5
361,1,3,1,838,1621,1384,3
706,1,4,2,1605,320,1332,3
134,1,3,1,987,935,1346,4
335,2,2,2,1363,1167,1073,5
1297,1,4,2,65,718,114,8
1788,1,3,1,1161,1435,667,4
705,1,3,1,728,547,1876,3
643,1,3,1,404,1551,740,6
334,3,1,3,580,1386,604,9
1343,1,3,1,914,1346,817,4
1010,3,1,3,1364,1519,529,9
473,1,3,1,1524,1314,77,6
547,1,4,2,364,762,335,8
1790,2,1,1,1659,937,210,0
1459,1,4,2,1226,447,1252,3
308,3,1,3,11,308,367,9
232,2,2,2,592,317,1112,5
1768,1,4,2,266,1521,1850,2
1220,2,1,1,939,991,262,0
1797,1,3,1,406,1770,1128,3
381,1,4,2,1618,1835,1365,8
1268,2,2,2,653,929,1421,7
1886,1,3,1,1245,1055,1180,6
1685,1,4,2,254,610,1640,2
563,1,4,2,1434,395,1626,2
804,1,4,2,1225,621,1445,3
1883,2,1,1,559,1039,38,0
1607,2,2,2,1379,917,1055,5
319,1,4,2,292,154,112,2
386,3,1,3,481,1070,575,9
1014,1,3,1,1522,899,101,3
204,2,1,1,1320,1097,205,0
1922,1,3,1,412,711,1086,6
1282,2,2,2,1037,646,1261,7
1252,2,1,1,854,100,439,0
312,2,1,1,1323,439,341,0
810,2,2,2,1275,697,847,5
694,3,1,3,192,664,697,9
1247,1,3,1,1668,798,725,4
623,1,4,2,439,1234,1709,3
1372,1,3,1,1644,1102,1593,3
565,1,5,3,1616,392,844,8
1941,1,3,1,388,962,739,3
1860,3,1,3,521,1126,154,9
489,1,3,1,670,110,1527,1
573,3,1,3,539,833,414,9
1506,3,1,3,195,953,553,9
1594,2,2,2,319,137,1107,5
1628,1,4,2,115,961,1875,3
1627,1,4,2,1089,424,1858,2
32,1,4,2,100,1633,1428,3
293,2,1,1,157,150,412,0
1098,3,1,3,923,784,486,9
1652,2,2,2,158,1092,936,5
1348,1,4,2,1156,422,121,8
1516,2,1,1,1318,311,248,0
1019,2,2,2,547,474,1067,7
43,1,3,1,73,1612,467,3
1946,1,3,1,1593,1488,810,6
980,3,1,3,967,1734,548,9
1246,1,3,1,1494,1200,1838,1
691,1,3,1,215,1021,1417,8
890,1,4,2,1493,1377,8,2
1562,1,3,1,1570,1034,576,6
1982,2,2,2,817,1524,1099,5
1952,1,3,1,433,75,1312,6
1462,1,3,1,524,389,1037,4
241,2,1,1,477,541,201,0
845,1,4,2,1643,1682,1741,3
1819,1,3,1,824,1886,1406,1
1493,2,2,2,53,1606,1496,7
1207,1,3,1,277,978,1743,8
644,1,4,2,447,856,1886,8
899,1,3,1,722,431,94,6
176,1,3,1,1220,807,1182,6
532,2,1,1,557,641,268,0
680,1,4,2,238,365,1681,4
766,2,1,1,476,793,247,0
1529,1,4,2,1213,568,827,6
1436,2,1,1,941,1005,407,0
914,1,3,1,299,1290,1839,2
1492,1,3,1,1623,428,1250,6
124,2,1,1,153,1401,375,0
1836,1,4,2,1650,443,104,3
1817,3,1,3,1278,1362,588,9
129,1,3,1,1433,1223,1491,1
902,3,1,3,1679,1100,398,9
237,1,4,2,1568,1019,856,3
907,1,3,1,38,12,1671,2
1610,1,3,1,1577,1573,507,6
624,1,3,1,1584,736,381,6
1263,1,4,2,1251,1806,1708,3
448,2,1,1,25,248,457,0
1328,1,3,1,848,990,1477,3
395,1,3,1,1031,92,1390,1
1642,1,4,2,1143,309,73,8
977,1,3,1,995,602,1343,1
457,1,3,1,237,639,1506,1
1658,2,1,1,1690,1520,253,0
1845,1,5,3,1122,1059,159,2
763,3,1,3,1388,1517,547,9
1548,1,3,1,841,557,1206,6
937,1,4,2,1637,1085,1675,3
1575,1,3,1,756,940,492,3
949,1,3,1,724,245,1732,8
1004,2,2,2,126,1837,819,7
494,3,1,3,164,795,527,9
920,1,3,1,321,1434,16,8
369,1,3,1,151,1828,967,4
805,2,2,2,191,763,1109,5
1806,2,1,1,578,1670,408,0
1848,1,3,1,1137,188,1887,8
610,1,3,1,649,1051,1457,1
1119,1,3,1,556,1879,760,4
868,3,1,3,1398,642,718,9
972,1,4,2,701,1743,75,2
1089,1,3,1,1192,219,672,6
1980,1,4,2,423,481,1411,8
502,3,1,3,761,1510,523,9
580,1,3,1,1155,254,216,3
372,1,3,1,656,1182,1509,1
751,2,1,1,162,214,249,0
885,1,4,2,902,1865,1810,2
1385,1,3,1,410,1074,1170,3
1644,1,3,1,209,409,1030,4
251,1,3,1,1500,1274,53,6
1469,3,1,3,871,1749,472,9
1908,1,3,1,1677,628,912,4
88,3,1,3,10,1299,401,9
1158,1,3,1,341,18,146,6
1791,1,3,1,1,1380,1308,1
1761,1,4,2,613,1676,1218,4
584,1,3,1,621,573,1481,2
106,1,5,3,272,185,1774,8
212,2,1,1,9,161,301,0
1475,1,3,1,1185,1492,646,6
807,2,1,1,152,1759,292,0
443,2,1,1,926,1191,188,0
794,2,1,1,1138,590,276,0
89,1,3,1,1444,1705,1583,2
733,2,1,1,558,1471,295,0
1151,2,2,2,1297,1760,1002,7
1808,1,4,2,1227,338,1498,3
269,1,4,2,1081,1850,1582,8
1871,1,4,2,615,387,1507,2
337,1,4,2,1165,673,358,8
464,1,3,1,1529,1139,156,7
219,1,3,1,217,1763,1410,2
1096,1,3,1,959,981,671,4
481,1,3,1,1511,452,65,8
1850,1,3,1,739,524,163,6
277,1,4,2,98,1407,1768,3
744,3,1,3,455,863,581,9
988,3,1,3,1221,843,427,9
1715,1,4,2,1436,1424,1630,2
286,1,3,1,627,1545,1407,1
128,1,3,1,1080,1762,1510,1
203,1,4,2,1446,1026,1755,8
175,1,3,1,1499,1712,1803,8
1302,1,4,2,91,778,1501,3
1364,2,2,2,126,1837,819,5
1081,1,3,1,633,1124,1404,1
234,1,3,1,93,1175,1482,6
69,1,3,1,83,237,852,6
1847,2,2,2,183,1267,1144,7
1239,1,3,1,190,1844,1102,4
1988,3,1,3,851,971,617,9
1532,2,2,2,1033,947,1326,5
432,1,4,2,1420,1560,1581,2
776,2,2,2,291,1367,1549,7
180,2,2,2,1076,1550,1508,7
1942,1,3,1,343,1687,56,6
1828,1,4,2,383,963,1034,3
1599,2,1,1,527,1822,232,0
126,1,3,1,267,152,1881,3
442,1,3,1,942,1020,860,4
1807,3,1,3,881,272,350,9
3,1,3,1,44,448,1391,1
996,1,3,1,667,1792,1598,2
403,1,3,1,943,1502,608,4
1379,2,2,2,1667,235,1197,5
1287,1,4,2,290,1685,1731,2
958,2,2,2,445,95,961,7
1383,2,2,2,1394,1166,1296,7
771,1,3,1,324,1569,139,8
414,1,4,2,763,140,107,8
145,2,2,2,1387,707,1162,5
113,1,4,2,102,1218,1759,3
664,1,4,2,431,1308,1664,8
734,2,2,2,652,1803,1494,5
1837,1,3,1,1648,148,695,4
1489,1,3,1,1495,1847,1799,1
47,1,3,1,616,1531,706,4
656,2,2,2,690,986,1570,5
782,1,5,3,356,351,235,8
648,1,4,2,1421,348,1397,1
1700,3,1,3,451,372,466,9
788,1,3,1,1426,1141,1456,1
112,1,3,1,90,1842,929,6
1305,1,3,1,637,1419,1389,1
1955,1,3,1,778,250,736,6
428,1,3,1,373,542,823,6
1240,3,1,3,564,1708,426,9
1833,1,4,2,1190,696,911,3
1618,1,3,1,1440,265,1515,1
268,3,1,3,570,827,555,9
603,2,1,1,11,1082,196,0
363,3,1,3,928,1714,571,9
1989,2,1,1,130,954,214,0
1108,2,1,1,166,930,309,0
1175,2,1,1,924,803,256,0
1457,2,1,1,124,939,228,0
1866,2,2,2,1645,928,1535,5
1602,1,3,1,1189,979,1077,6
318,1,3,1,417,1527,1370,3
666,1,3,1,264,1689,1504,1
743,1,3,1,1405,367,1226,4
147,2,2,2,567,1522,880,7
609,1,4,2,30,269,1081,4
1676,2,1,1,956,1125,360,0
1634,1,4,2,1127,1875,1884,8
51,1,4,1,1395,1146,1448,8
1563,3,1,3,1254,483,536,9
284,3,1,3,542,1204,549,9
1023,2,2,2,1349,739,1111,7
101,1,3,1,1462,1105,1760,1
520,1,3,1,1104,1829,110,6
174,1,3,1,1144,45,1788,1
790,2,2,2,281,1031,1453,7
1448,1,4,2,1491,998,1867,8
1101,2,2,2,1391,1253,1195,7
1092,2,1,1,1340,952,421,0
898,1,4,2,1536,258,40,8
1702,2,2,2,659,1625,1298,5
1558,1,3,1,500,1772,965,4
1760,2,2,2,1009,682,1215,5
579,1,5,3,276,487,1726,2
379,2,1,1,875,485,531,0
61,1,3,1,1061,838,1513,1
1278,1,4,2,355,1330,711,7
1049,2,1,1,1336,927,302,0
1959,1,3,1,1373,812,896,4
1832,2,1,1,1514,1641,331,0
1671,1,3,1,1216,266,859,6
261,1,4,2,657,1631,1606,8
391,3,1,3,532,1017,425,9
1966,1,5,3,1521,324,190,8
226,2,2,2,8,800,347,9
1674,1,4,2,1150,1312,330,3
1205,1,4,2,332,1540,81,8
1232,3,1,3,528,1291,319,9
1692,1,3,1,1517,1296,58,8
1142,1,4,2,113,1700,1649,3
820,2,2,2,1274,510,951,5
1111,2,2,2,458,1575,1079,5
1857,2,1,1,313,71,241,0
1465,1,4,2,1309,1224,1712,2
1595,1,3,1,1552,1354,600,6
139,1,4,2,434,1752,970,6
1397,1,4,2,1478,22,1661,1
990,2,1,1,888,669,308,0
416,2,2,2,1269,839,857,5
1167,1,3,1,42,1838,1480,1
1001,1,3,1,224,614,1395,1
135,1,3,1,1445,531,1488,1
1359,2,1,1,160,553,419,0
19,3,1,3,474,1238,435,9
79,2,2,2,242,1455,1358,7
207,1,3,1,105,1285,1383,6
1763,1,4,2,317,1544,157,2
1310,1,4,2,1112,290,138,2
1115,1,3,1,983,624,802,4
30,1,4,2,1036,1713,1419,1
589,1,4,2,1493,1212,97,2
1523,1,5,3,362,861,198,8
651,2,2,2,20,301,943,7
90,1,4,2,1199,1541,1378,3
1964,2,2,2,118,926,1301,7
599,3,1,3,1299,141,616,9
496,2,2,2,16,1795,922,5
415,1,4,2,1374,285,1236,4
726,3,1,3,1277,912,639,9
1662,1,4,2,1295,390,1005,4
1709,1,4,2,612,852,1140,4
408,1,4,2,1408,749,1292,4
1876,2,1,1,119,942,344,0
1779,1,3,1,711,484,1806,2
1103,1,4,2,1442,1739,1707,2
1604,1,4,2,1488,644,42,2
1565,3,1,3,479,1103,297,9
1182,1,3,1,583,1203,1044,4
92,1,4,2,79,1818,894,8
228,2,1,1,930,1495,234,0
1269,1,3,1,1065,1605,1665,8
449,2,2,2,1384,1405,1063,7
298,1,4,2,663,572,1523,1
677,2,2,2,1474,1081,1571,5
265,1,3,1,651,1240,1576,2
812,2,2,2,997,1878,1165,5
1058,1,3,1,484,577,798,4
1912,1,3,1,850,159,865,4
1802,3,1,3,17,464,388,9
45,1,3,1,50,339,1607,4
378,1,3,1,799,1164,699,6
827,2,1,1,123,456,244,0
1306,2,2,2,948,287,837,5
53,3,1,3,587,108,799,9
