,left-weight,left-distance,right-weight,right-distance,class
61,3,4,4,4,1
453,4,5,4,5,2
7,1,1,3,4,1
37,4,2,1,4,0
500,5,2,1,5,0
244,3,2,4,3,1
514,1,5,1,4,0
269,3,4,5,1,0
371,5,3,4,3,0
78,2,1,2,4,1
442,1,1,4,5,1
393,5,2,2,2,0
417,1,3,3,3,1
278,1,1,2,5,1
115,5,3,5,4,1
237,2,5,4,1,0
55,2,2,2,3,1
576,2,4,4,3,1
159,3,3,3,1,0
125,2,5,3,2,0
182,5,3,5,3,2
248,1,1,3,1,1
328,3,2,5,1,0
221,4,1,5,5,1
457,3,4,5,3,1
228,5,3,4,5,1
553,5,4,1,2,0
302,2,5,2,1,0
334,4,3,5,3,1
283,5,4,5,1,0
184,3,1,5,2,1
18,1,4,4,5,1
338,1,5,5,4,1
90,4,5,2,5,0
608,5,2,1,4,0
585,1,2,1,3,1
547,4,1,4,4,1
144,4,5,5,5,1
42,5,3,2,4,0
304,4,4,5,3,0
217,3,1,1,2,0
416,2,5,2,4,0
110,2,5,3,4,1
451,4,2,4,1,0
520,5,2,1,1,0
489,4,2,5,5,1
477,1,2,4,1,1
557,2,5,5,4,1
606,4,5,1,4,0
27,3,5,3,2,0
71,4,4,5,2,0
8,4,2,5,3,1
17,2,5,2,5,2
362,5,1,1,5,2
565,3,2,2,4,1
517,1,2,5,1,1
140,1,5,3,4,1
360,5,3,5,5,1
161,5,5,3,1,0
592,2,1,4,1,1
563,3,3,1,3,0
56,3,5,3,5,2
385,4,3,5,1,0
492,2,1,3,4,1
290,4,3,5,4,1
459,5,2,4,2,0
444,4,2,3,3,1
464,5,1,1,2,0
382,1,3,5,5,1
468,5,3,2,1,0
478,5,5,4,5,0
485,3,4,1,1,0
528,2,1,1,5,1
294,3,1,3,5,1
324,2,3,1,3,0
137,3,3,2,1,0
414,3,5,1,2,0
327,1,2,3,2,1
380,5,1,5,3,1
570,5,5,2,4,0
50,1,2,5,2,1
587,1,1,2,4,1
247,2,5,5,5,1
300,3,5,4,3,0
402,1,2,4,5,1
404,4,1,5,1,1
14,3,2,5,2,1
465,2,3,1,5,0
398,4,2,2,4,2
