,bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,r2ar8,reskd,reskr,rimmx,rkxwp,rxmsq,simpl,skach,skewr,skrxp,spcop,stlmt,thrsk,wkcti,wkna8,wknck,wkovl,wkpos,wtoeg,class
2660,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,0
2453,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1
2553,1,1,1,1,2,1,2,2,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
979,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1
2234,1,1,1,1,2,1,2,1,1,2,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,0
1127,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1
1630,1,1,1,1,2,1,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1
1585,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,0
2988,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,0
2038,1,1,1,1,2,1,1,1,2,1,2,1,2,1,3,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0
1429,1,1,1,1,2,1,2,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,0
158,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1
1375,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,0
840,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1
2675,1,1,2,1,1,2,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,0
2697,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1
2081,1,1,1,1,1,2,1,1,2,1,1,2,1,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
462,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0
2073,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
2125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1
527,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
3100,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1
1479,1,1,1,2,1,2,2,2,2,1,2,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1
665,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,0
121,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,0
1615,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1
832,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1
1625,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
1642,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0
204,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,2,1,2,1,2,2,1
1953,1,1,1,1,2,2,2,1,1,1,2,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1
2071,1,1,1,1,1,2,2,1,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,0
239,2,1,2,1,1,1,2,2,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,0
2298,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
2912,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,0
614,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,0
1451,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1
1567,1,1,1,1,2,1,2,2,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,0
2083,1,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1
2110,1,2,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,0
960,1,1,1,2,1,2,2,2,2,1,2,1,1,1,3,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,1,2,0
1323,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
1032,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1
1562,1,1,1,1,1,2,2,2,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1
949,1,1,1,1,2,2,2,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
1930,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1
2764,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,0
1664,1,1,2,1,2,2,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
2910,1,1,1,1,2,2,2,2,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0
2785,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
1050,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,0
1413,1,1,1,1,1,2,1,1,1,1,1,2,2,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
3169,1,1,1,1,1,1,2,2,2,2,2,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,0
1972,1,1,1,1,1,2,2,1,2,1,2,1,1,1,3,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,2,0
1259,1,2,1,1,1,1,1,1,2,1,1,2,1,1,3,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1
1179,1,1,1,1,2,1,2,2,2,2,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0
441,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
1047,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1
205,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
1423,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,0
839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,0
1739,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1
435,2,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,0
1941,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0
583,1,2,1,1,1,1,1,1,2,1,2,1,1,1,3,2,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2,1
2768,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,0
2874,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,0
1296,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,0
757,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
3012,1,1,1,1,2,1,2,2,2,2,1,1,2,1,3,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,0
1372,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1
2361,1,1,1,2,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1
1893,1,1,1,1,1,2,2,1,1,2,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,0
1862,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1
2156,1,1,1,2,2,2,2,2,2,1,1,1,2,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
2878,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,0
1904,1,1,1,1,1,1,1,1,1,2,2,1,2,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,0
2506,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,1,0
2040,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,0
233,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1
2129,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1
1541,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,0
2526,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1
97,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,2,2,2,1
2469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1
1157,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,2,0
1592,1,1,1,1,2,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1
694,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1
762,1,1,1,1,1,2,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0
340,1,1,1,2,2,1,2,2,2,2,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,0
113,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1
1992,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1
2372,1,1,1,2,2,2,1,1,1,2,1,1,1,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
1965,1,1,2,1,1,2,2,1,1,2,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,0
1697,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,0
286,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1
2879,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,0
1309,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1
491,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,0
2302,1,1,1,1,2,1,2,1,1,1,2,1,2,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0
676,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0
2117,1,1,2,1,2,1,2,2,2,2,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,0
991,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
2828,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
2566,1,1,1,1,1,1,2,2,2,1,2,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
386,1,2,1,1,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,0
822,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1
1773,1,1,1,1,1,2,2,1,2,1,2,2,1,1,3,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,2,0
1803,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,0
391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1
2855,2,1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1
2344,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
281,1,1,1,1,1,2,1,2,2,2,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,0
815,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0
439,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1
1367,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
2033,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,1
1039,1,1,1,1,1,2,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,0
2736,1,1,1,1,1,1,1,1,1,2,1,2,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0
145,1,1,1,1,1,1,2,1,1,1,2,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,0
798,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,0
3136,2,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1
2502,1,1,1,1,1,1,2,2,2,2,2,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,0
2533,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,0
2909,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1
162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,0
1065,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,0
816,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
1075,1,1,1,1,1,2,1,1,1,1,1,2,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1
772,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,0
2852,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1
187,1,1,1,1,1,2,2,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1
2685,1,1,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
2843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1
2268,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
3143,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1
1489,1,1,1,1,2,2,2,1,1,2,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,0
1470,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
68,1,1,1,2,2,2,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,0
2215,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,2,0
957,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,0
138,1,1,1,1,1,2,2,1,2,1,2,1,1,1,3,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
618,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,1,0
911,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,0
46,2,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1
2884,1,1,1,1,1,1,2,2,2,2,2,2,1,1,3,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,0
1948,1,1,1,1,2,2,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,0
1287,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1
1427,1,1,1,1,1,2,1,2,2,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,0
1400,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1
2865,1,2,1,1,1,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,0
2264,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1
2952,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,0
1480,1,1,1,1,1,2,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0
2744,1,1,1,2,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1
1921,1,1,1,1,1,2,2,2,2,1,2,1,2,1,3,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
2043,1,1,1,1,2,1,2,2,2,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0
1283,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,0
