,buying,maint,doors,persons,lug_boot,safety,class
72,4,1,2,3,2,3,0
1707,1,3,4,3,3,1,2
702,2,1,1,1,3,3,2
285,1,3,2,2,1,3,0
356,4,1,4,3,3,2,0
393,2,3,3,3,2,2,0
1578,1,1,3,1,1,2,2
671,1,3,1,2,2,2,0
313,4,3,4,2,3,2,2
428,3,1,3,3,3,1,2
465,2,1,4,3,2,3,3
1548,4,4,2,2,3,2,0
1007,1,2,2,2,1,1,2
1411,1,4,3,3,3,2,0
781,1,1,4,3,3,1,2
320,3,1,1,1,2,1,2
689,3,2,4,2,1,3,0
324,4,1,3,2,1,3,0
1651,3,4,1,2,1,1,2
1697,3,2,2,2,2,3,0
1569,2,2,2,3,1,1,2
665,2,2,2,3,2,1,2
1083,4,1,1,3,2,3,0
1539,1,3,2,2,3,1,2
38,4,4,3,1,1,1,2
308,2,2,1,3,1,2,0
1336,3,2,1,3,2,1,2
925,4,3,3,2,3,3,2
1568,4,2,1,3,3,1,2
128,3,4,1,2,3,2,2
1212,2,1,3,1,3,3,2
1673,2,1,3,3,3,1,2
175,1,1,1,2,3,3,3
1152,2,3,3,1,1,3,2
1221,3,1,2,3,1,2,2
1488,2,3,3,2,1,1,2
1699,3,2,2,3,2,1,2
89,2,3,1,2,1,3,0
798,2,1,4,3,3,1,2
1127,3,3,4,1,2,1,2
1708,3,1,1,2,3,1,2
891,2,2,4,3,1,1,2
437,1,1,1,3,1,3,1
1380,4,2,4,3,1,3,0
1726,1,4,3,2,3,2,0
716,2,1,3,1,2,3,2
887,1,3,3,3,3,1,2
1467,3,2,2,3,1,3,0
1143,3,1,1,3,3,2,0
1674,4,1,1,3,1,3,0
106,4,3,4,1,2,1,2
94,1,4,4,2,3,3,0
1573,2,1,1,1,3,2,2
248,4,1,1,1,1,2,2
1451,2,4,2,1,3,1,2
1054,2,4,3,2,2,2,0
520,2,1,1,2,2,1,2
1400,3,3,4,1,2,2,2
822,2,3,1,3,2,3,0
12,2,2,3,3,3,1,2
1698,1,1,3,3,2,3,3
878,1,2,4,3,3,2,1
945,2,2,3,3,2,1,2
268,4,4,1,2,3,3,0
736,1,1,1,1,2,1,2
290,3,1,4,2,1,3,0
730,3,3,1,3,3,1,2
835,3,1,3,2,3,2,2
966,2,1,3,2,1,2,0
1643,1,3,2,1,2,3,2
1522,4,1,3,3,1,3,2
149,3,2,4,1,3,3,2
722,3,3,3,2,1,2,2
1413,2,3,3,2,2,1,2
333,1,2,4,3,1,1,2
1009,3,2,1,1,3,3,2
1158,3,1,2,1,2,3,2
590,4,3,1,3,1,3,2
746,2,4,4,2,1,1,2
1688,1,4,4,1,2,3,2
1013,2,3,3,3,2,3,0
156,1,1,1,3,2,1,2
224,4,2,2,2,1,3,0
426,3,3,4,3,3,3,2
833,4,2,1,1,1,2,2
709,2,4,2,3,1,1,2
561,4,4,4,2,1,3,0
994,4,1,4,2,3,3,0
1258,4,3,1,1,3,1,2
1438,1,4,1,3,1,2,0
521,1,4,4,2,2,1,2
138,4,3,3,1,3,3,2
84,4,3,3,2,3,1,2
1657,1,3,2,3,1,1,2
1593,3,3,4,1,1,1,2
77,3,1,3,2,1,2,2
368,1,1,4,2,3,3,1
1353,2,1,3,3,2,3,3
1349,4,3,4,3,2,1,2
202,4,2,2,3,1,1,2
1326,2,3,3,1,3,1,2
674,1,4,2,1,1,2,2
1690,2,1,3,3,1,1,2
1016,2,4,2,2,1,3,0
1210,4,2,3,1,1,2,2
490,1,2,3,3,1,3,2
747,4,1,2,2,2,2,0
756,4,2,3,1,3,2,2
40,1,2,1,1,1,1,2
1713,3,1,1,1,1,2,2
1640,2,4,2,3,2,2,0
1047,1,3,4,2,2,2,0
1364,3,4,3,1,3,1,2
341,2,1,2,3,2,3,3
1182,1,4,4,1,3,3,2
1454,3,4,4,3,2,3,2
804,1,2,4,2,2,2,1
844,1,1,3,2,1,3,1
856,4,1,4,1,2,2,2
1572,2,3,2,3,1,3,0
1112,4,2,3,2,1,1,2
264,1,1,4,1,1,2,2
669,1,4,2,2,2,2,0
972,4,2,1,2,2,2,0
297,1,4,1,3,2,2,0
142,2,3,3,3,3,3,0
585,2,4,4,2,3,2,2
1450,4,1,4,3,1,1,2
740,2,3,1,3,2,2,0
1414,2,2,4,1,3,2,2
133,3,3,2,1,2,3,2
1107,2,2,2,3,1,3,0
130,2,1,4,1,2,1,2
558,4,4,4,2,3,1,2
330,1,2,1,3,3,1,2
1394,2,3,1,1,1,3,2
829,1,3,2,3,2,3,0
471,2,2,1,3,1,3,0
566,3,4,3,2,1,2,2
1060,4,1,4,2,2,2,0
1542,4,4,2,1,1,3,2
840,1,2,2,3,1,3,1
1717,1,2,2,3,2,2,1
164,2,3,2,3,3,1,2
1508,4,4,4,1,1,1,2
304,2,2,1,3,2,2,0
680,2,2,3,1,2,1,2
276,3,1,3,3,1,3,2
1433,3,4,4,2,3,2,2
1376,3,1,3,1,3,3,2
100,3,1,4,1,3,3,2
305,4,2,3,2,3,2,2
811,2,2,3,3,3,2,0
607,2,2,3,1,2,2,2
217,3,2,4,3,3,1,2
677,4,3,1,3,3,2,2
343,1,1,2,2,1,2,0
603,3,3,1,2,2,2,2
302,4,4,3,1,3,1,2
1354,1,2,2,2,1,2,0
921,4,1,1,1,2,3,2
974,4,1,2,2,1,3,0
589,4,4,2,3,1,3,0
749,1,2,2,2,1,3,1
193,1,3,1,1,3,1,2
1576,4,2,3,2,1,2,2
1329,2,4,3,3,1,3,2
918,3,1,1,3,3,3,0
1648,1,1,3,1,2,3,2
1611,1,3,2,2,1,2,2
1139,4,4,4,3,2,3,0
1312,4,2,3,1,3,3,2
608,1,4,1,1,2,1,2
1412,3,1,3,2,1,3,0
241,3,2,2,1,2,2,2
200,2,1,3,3,3,2,0
104,3,2,2,2,2,2,0
434,4,4,1,3,1,2,2
936,2,4,3,3,2,2,0
102,1,2,1,2,3,1,2
344,2,4,4,3,2,2,0
647,3,1,1,2,1,1,2
244,1,4,4,1,1,3,2
355,2,3,4,3,3,1,2
187,3,4,4,1,3,1,2
1404,2,1,4,2,1,3,1
979,1,3,3,2,2,1,2
1334,2,1,2,2,1,1,2
697,3,4,4,1,3,3,2
1388,2,3,3,1,3,3,2
1529,2,2,1,2,3,1,2
1277,4,2,1,3,1,2,2
1357,2,3,4,3,2,3,0
1405,1,1,3,2,2,2,1
362,3,3,4,1,1,2,2
513,2,4,1,2,2,2,0
981,2,2,4,3,2,1,2
266,2,2,1,1,3,3,2
1124,1,2,1,1,2,3,2
1084,4,4,2,3,2,2,0
336,3,2,3,3,3,1,2
1483,3,4,4,1,1,3,2
724,3,3,3,3,1,1,2
1518,1,4,1,2,1,2,0
32,4,4,4,3,2,1,2
431,2,1,4,2,2,1,2
543,3,3,2,1,3,3,2
1355,4,1,3,1,3,2,2
1159,1,1,2,3,1,3,1
661,3,2,2,2,3,3,0
403,2,4,2,1,2,1,2
249,4,4,1,2,3,2,0
1153,4,2,4,2,3,1,2
1558,2,4,3,3,2,1,2
934,3,2,3,1,1,1,2
915,1,4,2,2,1,1,2
455,4,3,4,3,1,1,2
472,3,2,1,2,1,1,2
326,3,1,2,1,3,1,2
993,4,3,2,1,1,3,2
834,3,2,1,1,2,2,2
586,1,4,2,3,1,1,2
1607,4,1,4,3,3,3,0
396,1,4,4,3,1,1,2
384,2,3,4,3,2,2,0
1606,4,1,4,1,3,1,2
143,1,4,1,2,1,1,2
542,1,2,2,1,1,2,2
767,1,3,3,3,1,1,2
484,1,3,2,2,2,1,2
408,1,4,1,1,2,3,2
91,2,4,1,1,1,2,2
44,2,3,2,3,3,3,0
1300,2,3,4,1,3,2,2
1587,2,2,2,1,1,3,2
470,3,2,4,2,2,3,0
1510,4,4,2,2,3,3,0
1557,1,1,1,2,3,2,1
1437,1,4,1,1,1,1,2
1284,4,3,4,2,3,3,2
237,4,1,2,1,3,1,2
1615,3,1,1,1,3,1,2
55,3,3,4,3,1,1,2
1075,4,4,3,2,1,1,2
986,1,2,1,3,3,2,1
1295,1,2,3,3,2,1,2
219,2,4,3,1,1,1,2
1711,4,1,3,3,1,1,2
1024,4,3,4,1,2,2,2
382,4,2,4,3,1,1,2
457,4,2,2,2,3,2,0
1296,1,3,3,2,1,3,0
1028,1,2,4,3,2,3,3
1644,1,2,4,3,1,3,1
757,4,3,2,1,3,3,2
1302,3,1,4,1,3,1,2
1375,1,1,3,2,1,2,0
958,4,2,2,1,3,3,2
229,4,4,3,3,1,1,2
912,2,3,2,2,2,2,0
805,2,2,2,2,2,1,2
954,1,4,4,2,2,3,3
937,1,1,3,3,3,2,0
594,4,2,1,3,2,3,0
765,3,4,4,3,1,1,2
139,1,3,2,1,3,1,2
28,4,1,1,1,2,1,2
1527,3,3,4,3,1,2,2
69,3,1,2,1,3,3,2
179,3,1,2,3,3,1,2
953,2,4,1,1,2,1,2
1261,4,4,1,3,2,3,0
1661,2,2,3,3,1,2,2
1174,1,3,1,1,1,1,2
893,4,4,3,1,2,3,2
436,3,2,3,1,1,3,2
74,2,2,3,2,3,1,2
1010,2,1,4,2,3,1,2
1195,2,2,1,1,3,2,2
619,2,1,1,3,3,1,2
991,1,2,2,1,1,3,2
688,1,2,1,2,3,3,3
236,1,2,4,1,3,1,2
1434,3,4,4,3,3,3,2
1524,1,3,3,3,2,2,0
868,3,1,2,3,3,2,0
693,4,2,4,1,3,2,2
1722,2,4,2,3,2,3,0
916,1,1,1,2,1,3,1
1162,1,4,1,3,3,3,3
1655,3,3,2,1,3,2,2
519,1,3,2,1,3,3,2
246,3,3,2,3,1,2,2
162,4,2,2,1,1,2,2
931,3,4,4,2,2,2,2
1264,1,1,2,3,3,3,3
272,3,3,2,3,3,3,2
889,3,2,2,3,1,1,2
358,2,3,1,3,1,2,2
800,2,2,1,3,3,2,0
1449,2,3,4,1,2,3,2
1035,3,4,2,3,2,1,2
940,3,2,3,1,2,2,2
782,2,3,4,2,3,2,2
1540,3,1,2,1,3,2,2
1716,4,3,1,1,3,3,2
209,3,1,3,2,2,3,0
1059,3,4,2,2,2,3,2
110,4,1,3,3,2,2,0
339,2,4,2,3,3,2,0
309,1,2,4,3,1,2,0
460,2,2,2,3,2,2,0
1466,3,1,1,1,1,1,2
553,2,1,4,3,2,2,1
1270,1,4,4,2,3,2,0
1089,4,4,3,2,2,1,2
476,2,1,1,3,2,2,1
557,4,1,2,1,2,3,2
1423,4,4,4,3,3,1,2
1543,3,3,3,3,1,2,2
83,4,3,1,3,2,3,2
1478,2,3,2,2,3,1,2
168,4,2,1,3,1,3,0
1521,3,4,1,2,3,1,2
67,2,2,4,1,1,3,2
257,2,4,3,1,1,3,2
1504,3,4,2,2,3,1,2
1173,4,1,3,2,3,1,2
376,2,4,3,3,1,2,2
1094,3,1,3,3,1,1,2
50,1,2,2,2,2,3,3
919,1,1,2,1,3,2,2
345,3,1,1,1,3,2,2
159,3,2,4,3,2,2,0
1359,3,1,4,1,1,1,2
1230,1,2,1,3,2,3,3
1585,2,2,3,2,3,2,0
1654,2,1,4,2,3,3,1
613,2,2,2,1,3,1,2
1424,4,4,4,2,1,2,2
218,4,2,3,3,3,1,2
1694,4,1,1,1,2,2,2
564,4,1,1,2,2,1,2
478,2,3,4,1,3,1,2
1051,4,2,3,2,3,3,0
1634,4,4,1,1,2,2,2
541,1,2,3,3,3,3,1
93,2,2,3,2,2,2,0
710,1,4,2,2,2,1,2
29,1,1,3,1,3,3,2
516,2,1,4,3,3,2,1
1702,3,3,4,1,3,1,2
985,4,4,1,1,1,3,2
1256,3,3,3,1,3,2,2
584,2,1,4,1,3,1,2
191,3,3,1,3,3,3,2
1345,3,4,3,2,2,2,2
1338,4,2,1,2,2,3,0
1554,4,1,4,3,1,2,2
477,4,2,4,2,2,2,0
796,4,2,3,1,1,3,2
742,4,2,2,3,2,2,0
568,3,4,3,1,2,3,2
350,4,1,3,1,1,2,2
1186,3,3,3,1,2,1,2
1044,3,2,2,2,2,1,2
532,3,3,2,1,1,1,2
259,4,2,2,3,1,3,0
380,1,2,3,2,3,1,2
1241,1,1,2,3,1,1,2
1272,2,3,1,2,2,3,0
1499,1,1,3,1,1,3,2
1520,1,3,2,3,1,2,2
1242,2,4,4,3,3,1,2
260,3,4,2,1,3,2,2
1154,2,3,4,3,3,2,0
279,3,1,4,1,3,2,2
1564,4,2,3,1,1,1,2
642,1,1,1,3,3,2,1
1144,4,3,2,1,3,2,2
1267,3,4,4,2,1,2,2
691,1,2,1,2,3,2,1
894,4,4,3,3,3,2,2
1305,4,3,1,1,2,3,2
21,3,3,2,2,2,3,2
48,1,3,1,3,1,3,0
186,4,3,2,1,2,3,2
1106,3,3,4,1,3,2,2
1392,1,4,1,3,2,1,2
1701,1,2,2,3,2,1,2
1045,2,4,4,1,1,1,2
503,4,1,1,2,1,3,0
480,3,3,3,3,3,1,2
123,2,3,1,1,2,2,2
1532,4,4,3,3,2,2,0
121,3,2,2,2,1,3,0
1551,4,2,3,3,2,1,2
205,1,1,2,2,3,1,2
1085,2,3,2,1,1,2,2
1718,2,1,1,2,3,2,1
903,1,1,3,3,2,2,1
176,2,4,4,2,3,3,0
1650,2,1,2,1,1,1,2
726,1,4,3,3,3,1,2
609,3,3,4,3,2,3,2
448,2,4,3,2,3,2,2
1080,4,2,4,3,1,2,2
821,1,4,1,1,3,3,2
1421,2,1,1,3,2,1,2
1619,1,2,4,3,3,3,3
621,1,3,1,1,1,3,2
1656,3,1,2,2,3,3,0
898,4,3,2,2,1,2,2
1103,4,1,3,2,2,2,0
636,4,3,2,2,3,3,2
791,2,2,2,3,3,3,3
1280,1,4,3,3,1,1,2
1042,3,2,3,3,3,3,0
510,4,4,2,2,2,1,2
222,4,4,4,3,1,1,2
1237,2,3,3,2,2,3,0
1014,3,2,1,1,1,2,2
1067,1,3,4,3,2,1,2
1382,1,4,3,2,2,1,2
1257,2,3,2,2,2,3,0
1446,4,2,2,2,2,1,2
604,4,3,2,3,1,1,2
522,4,4,1,2,1,2,2
197,4,2,3,3,2,3,0
982,4,2,2,1,3,2,2
1666,3,1,1,2,1,3,0
1428,4,1,4,1,2,1,2
597,4,2,4,3,2,1,2
1030,2,2,3,1,2,3,2
858,3,3,4,2,3,1,2
1342,2,2,4,2,3,3,0
81,1,3,1,2,1,2,2
875,2,2,1,2,3,2,0
717,2,2,4,2,3,1,2
1351,1,3,3,3,3,2,2
349,1,1,3,3,2,1,2
870,2,1,3,1,3,1,2
1018,3,3,1,1,3,3,2
1069,3,1,4,1,1,2,2
183,2,4,3,3,3,2,2
1535,4,1,1,2,3,2,0
1594,3,1,4,2,3,1,2
86,4,4,4,2,2,1,2
905,3,2,1,1,3,1,2
1372,4,2,4,1,2,1,2
212,4,1,4,3,3,1,2
1497,4,4,3,2,2,2,0
52,2,4,2,3,2,1,2
163,4,1,1,3,2,2,0
261,1,2,1,2,1,2,0
1447,3,2,4,1,3,2,2
1145,2,4,3,3,3,3,0
1240,2,1,3,2,1,1,2
683,1,4,2,1,1,1,2
41,2,1,3,2,2,2,1
1004,3,4,2,3,3,1,2
845,4,1,2,2,3,3,0
579,3,1,1,1,2,3,2
886,2,1,4,2,2,3,3
282,2,4,3,1,2,2,2
578,2,4,1,1,1,1,2
824,4,2,1,2,1,3,0
610,4,2,4,1,1,1,2
825,4,1,3,2,1,2,2
1023,3,3,2,3,1,1,2
118,2,2,3,1,3,1,2
453,1,3,4,2,2,1,2
116,1,2,1,1,3,1,2
1253,3,1,1,3,1,2,2
462,4,3,2,3,1,2,2
1052,2,1,3,2,3,2,0
1187,4,3,3,1,2,3,2
458,4,4,4,1,1,2,2
1021,1,1,4,3,3,2,1
1530,1,1,2,1,1,3,2
160,4,2,2,1,2,2,2
497,3,4,1,2,3,3,2
1026,1,1,4,3,3,3,3
386,1,1,4,1,2,3,2
673,2,2,1,2,2,1,2
1586,3,2,1,2,2,2,0
949,4,3,4,3,3,3,2
1598,4,2,2,1,1,3,2
1218,3,2,2,3,2,3,0
1012,1,1,4,2,2,2,1
1503,4,2,1,1,3,1,2
655,2,2,4,3,2,3,3
71,3,3,3,1,3,3,2
641,3,2,1,2,3,2,0
506,4,4,2,1,1,1,2
383,1,1,2,3,3,1,2
938,4,1,4,2,1,2,2
430,1,3,1,2,1,1,2
728,1,3,2,3,2,2,0
166,1,2,3,2,1,2,0
485,1,1,2,1,1,1,2
699,2,3,3,1,2,2,2
1525,4,3,4,1,3,2,2
7,4,4,3,2,1,3,0
1142,1,3,3,2,3,2,2
1043,4,3,1,2,1,1,2
1544,1,1,4,1,1,1,2
70,1,1,4,2,2,1,2
531,1,3,4,3,1,2,2
1453,4,1,4,3,2,1,2
614,3,3,3,2,3,2,2
1087,2,1,4,1,1,1,2
1464,2,4,1,2,1,3,0
53,2,1,4,1,3,3,2
675,1,3,2,1,2,1,2
289,1,4,3,1,1,2,2
1678,4,2,1,1,3,3,2
1164,3,1,4,1,2,1,2
13,4,1,2,2,2,1,2
752,2,3,3,3,1,1,2
119,1,2,4,1,1,1,2
1327,3,4,3,2,1,1,2
1299,2,3,3,2,1,2,2
1263,1,4,1,1,1,3,2
26,4,1,4,2,1,3,0
1352,4,3,4,1,3,3,2
1371,1,4,3,2,3,3,0
1671,2,1,3,2,1,3,1
112,4,2,4,2,3,3,0
1442,1,1,3,2,2,1,2
1462,2,1,1,2,1,1,2
136,1,1,2,1,2,2,2
122,1,3,4,2,3,2,2
1507,2,1,4,2,1,2,0
1479,4,3,4,2,1,2,2
1695,3,1,3,3,3,2,2
1036,2,2,3,2,1,2,0
1472,2,2,4,3,3,1,2
194,1,3,4,3,2,3,0
306,3,1,1,3,2,2,0
527,1,4,3,3,2,1,2
468,1,2,3,1,2,3,2
1323,4,2,1,2,1,1,2
1706,2,1,1,1,2,2,2
832,4,2,4,1,3,1,2
283,1,3,4,2,1,3,0
1696,3,2,4,1,1,1,2
499,4,2,1,3,2,1,2
1022,2,1,4,1,1,2,2
1065,3,3,4,3,3,2,2
1608,3,3,2,1,2,2,2
387,4,3,2,1,2,1,2
157,2,3,3,2,3,3,0
479,1,3,3,2,1,1,2
1627,2,2,3,2,1,3,0
902,4,2,1,2,3,2,0
501,4,3,3,2,2,2,2
1076,2,1,1,3,1,3,1
226,3,4,3,3,2,2,2
1133,3,2,3,2,3,1,2
152,4,3,2,1,2,2,2
546,3,4,2,3,3,3,2
1048,2,4,1,3,2,1,2
504,1,4,3,2,2,3,3
1097,2,1,1,3,1,1,2
311,2,3,4,3,2,1,2
233,4,3,4,2,3,1,2
1108,3,1,4,3,1,3,0
80,4,1,4,1,1,3,2
1185,1,1,1,2,1,1,2
262,1,3,4,1,2,1,2
1169,3,4,2,1,2,2,2
1081,2,4,2,3,1,2,2
1501,1,4,3,3,2,2,0
66,3,4,3,2,3,1,2
1366,4,2,4,2,1,1,2
1601,4,4,2,2,2,3,0
1149,2,1,2,3,3,2,1
1486,2,3,3,3,1,3,2
1383,2,1,4,2,3,2,0
690,3,3,3,1,1,2,2
508,2,3,4,1,2,2,2
908,4,2,3,2,2,2,0
1523,2,1,4,1,2,3,2
1086,3,1,4,3,2,3,0
1581,3,2,3,3,2,1,2
656,3,4,4,2,2,3,2
1485,4,3,3,2,3,2,2
15,3,2,4,2,2,1,2
509,2,2,3,3,3,3,0
587,4,2,3,1,2,2,2
263,2,3,1,1,1,1,2
1580,3,4,3,1,2,2,2
254,3,2,2,1,3,3,2
1,3,1,4,3,1,2,2
1579,3,2,2,1,1,2,2
129,2,2,1,3,1,1,2
679,1,2,3,2,1,3,1
1332,2,3,2,2,1,3,0
364,3,3,1,2,2,1,2
1190,1,2,2,1,3,1,2
140,1,1,2,3,2,2,1
1292,3,4,2,2,1,1,2
871,4,4,3,1,3,3,2
365,3,4,1,2,2,3,2
150,1,4,4,3,1,3,0
1247,1,3,1,2,3,1,2
910,2,1,3,1,3,2,2
1068,2,3,1,1,3,2,2
1435,4,2,3,3,1,3,2
1074,3,3,1,1,2,3,2
1238,3,2,2,3,2,2,0
631,1,1,1,3,3,1,2
1071,3,1,1,3,2,3,0
1500,1,2,2,1,3,2,2
1691,2,1,2,3,2,2,1
748,4,4,1,3,2,1,2
630,1,4,1,3,3,1,2
739,1,2,1,3,3,3,3
1331,1,1,1,2,2,1,2
1196,1,3,2,2,3,3,0
1119,1,3,1,2,2,3,0
795,1,4,4,1,1,1,2
1534,4,1,3,1,2,3,2
914,2,2,1,2,2,3,3
1369,2,3,3,3,2,1,2
10,4,3,3,1,3,1,2
238,1,1,2,2,2,2,1
18,3,4,2,1,3,1,2
1415,1,3,4,1,3,3,2
1425,2,1,3,1,2,1,2
481,3,3,4,3,3,1,2
1402,3,4,1,3,1,1,2
1005,4,2,2,1,2,1,2
75,2,4,2,1,3,2,2
1393,3,2,4,3,2,3,0
211,1,4,4,3,3,3,3
1224,4,1,3,1,2,2,2
1455,2,1,1,1,1,3,2
1017,3,1,2,3,1,1,2
1680,1,3,3,2,3,3,0
135,2,2,4,3,1,3,0
347,1,3,3,1,1,1,2
1589,3,4,3,1,1,1,2
943,3,1,1,3,1,3,0
1469,2,4,4,2,2,2,0
754,3,4,2,1,2,1,2
741,1,4,1,2,1,3,0
880,3,4,1,2,2,2,2
395,4,1,4,2,2,3,0
1008,1,2,3,3,2,3,3
853,1,1,4,1,2,1,2
618,1,3,3,1,3,1,2
1604,3,1,4,2,1,1,2
939,2,3,1,3,2,1,2
560,3,2,1,2,3,1,2
882,3,3,2,2,2,1,2
692,3,4,3,3,3,1,2
195,3,4,2,2,3,2,2
896,1,4,2,2,1,3,0
652,4,3,1,2,2,1,2
518,2,4,2,2,3,3,0
951,1,1,3,1,3,2,2
79,3,3,1,3,3,2,2
25,2,2,4,1,2,3,2
973,4,3,2,3,3,3,2
443,3,3,2,2,3,1,2
1473,2,4,3,3,1,1,2
628,3,4,3,2,3,3,2
153,1,3,2,3,3,3,0
141,4,2,1,2,3,3,0
1314,1,1,3,1,2,1,2
622,1,3,1,3,3,1,2
284,4,2,4,3,3,2,0
1001,1,2,3,1,3,1,2
1243,3,1,3,1,2,2,2
1207,2,3,3,1,1,2,2
1049,3,2,3,1,3,3,2
1322,4,2,1,2,3,1,2
1039,2,1,2,3,1,3,1
51,3,2,3,2,2,2,0
385,2,2,2,1,1,2,2
1659,4,4,2,3,1,1,2
592,2,3,1,3,1,3,0
1308,4,3,1,2,3,1,2
1668,3,3,3,2,3,3,2
904,1,1,2,2,1,1,2
667,2,2,2,1,2,3,2
1183,2,3,4,1,1,2,2
1304,2,3,2,3,2,3,0
847,3,1,1,3,3,1,2
332,1,4,2,3,2,2,0
146,3,3,2,3,2,2,2
1570,1,1,1,1,1,3,2
1667,4,2,4,1,2,2,2
1184,2,2,2,2,1,2,0
252,3,1,3,3,1,2,2
1254,4,4,1,3,3,2,0
256,2,3,1,1,3,1,2
1431,2,2,2,1,3,3,2
650,1,1,3,1,2,2,2
552,2,2,1,2,1,3,0
1236,1,4,4,2,1,1,2
831,2,3,2,1,1,3,2
1156,4,4,2,1,3,2,2
1320,4,4,4,1,2,2,2
1235,2,2,3,3,1,1,2
738,3,1,3,3,3,3,0
1555,4,4,4,2,1,1,2
1176,3,2,2,1,3,1,2
493,3,4,2,2,2,2,2
909,2,1,2,2,2,3,3
1324,2,4,2,2,1,2,2
1649,4,3,1,2,2,2,2
203,4,1,3,1,1,1,2
1102,2,4,3,2,3,1,2
1665,4,2,1,1,1,3,2
57,4,3,3,1,1,1,2
1233,1,3,3,1,1,3,2
750,2,3,1,3,3,1,2
930,3,1,4,3,3,3,0
706,2,4,2,3,3,1,2
60,2,4,3,2,2,1,2
727,4,3,4,3,3,2,2
537,2,3,3,1,2,1,2
1463,1,2,4,2,1,3,1
944,2,3,2,1,3,1,2
1105,4,4,3,2,1,2,2
713,4,4,2,2,1,1,2
766,3,4,4,1,2,1,2
235,2,4,2,1,2,2,2
0,3,2,4,3,3,2,0
1519,4,4,1,1,2,3,2
1403,1,2,1,2,1,1,2
92,2,2,4,1,3,1,2
947,4,1,3,2,2,3,0
678,2,3,4,2,2,3,0
703,2,3,4,3,1,2,2
277,4,4,2,3,2,3,0
337,1,2,2,3,3,2,1
1283,1,3,1,1,2,3,2
126,2,1,3,3,2,1,2
514,4,3,1,3,2,1,2
1590,3,3,3,1,3,1,2
1613,3,3,3,3,3,3,2
54,4,4,1,1,1,2,2
1681,2,1,2,1,1,3,2
245,1,3,1,3,2,3,0
1631,1,4,2,1,3,2,2
851,1,4,3,2,3,1,2
1399,3,3,1,1,3,2,2
399,4,1,3,3,2,3,0
1188,4,3,4,1,2,3,2
