,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
16772,4,10,6,7,5,7,8,10,7,7,7,6,4,9,4,9,5
15818,6,11,7,9,7,8,8,14,2,7,7,9,6,9,1,9,9
15199,5,8,6,6,3,8,4,15,7,8,14,9,4,10,1,9,24
13637,4,10,5,8,3,7,11,2,4,9,13,9,2,12,1,9,11
825,5,7,6,5,3,8,7,7,8,12,7,13,3,10,5,10,8
571,5,9,6,7,4,8,8,8,8,12,7,12,3,10,5,10,8
19428,3,4,4,2,2,9,10,4,5,11,5,7,5,10,2,8,9
3384,7,9,10,7,5,6,8,4,8,11,10,12,4,9,4,8,7
15340,4,3,5,4,3,8,9,7,9,9,11,9,4,10,2,9,24
3272,3,4,4,3,3,8,9,6,6,7,6,8,3,7,6,9,10
16873,4,8,5,6,2,1,1,7,7,1,2,6,1,9,1,9,1
19908,4,7,5,5,4,8,10,7,6,11,7,5,4,9,4,7,5
18507,5,9,6,7,5,8,9,8,5,11,8,10,4,9,4,8,17
13979,5,7,7,5,5,11,12,4,3,5,10,8,8,12,1,8,15
4661,7,10,9,9,10,8,8,3,6,8,7,9,5,9,9,9,12
18543,7,13,6,7,5,7,9,5,5,11,9,10,5,10,10,10,20
17623,7,7,7,9,6,7,7,10,8,7,7,8,4,9,11,11,16
18410,4,7,5,5,4,7,12,5,6,11,9,6,4,13,3,6,22
9325,6,11,8,8,6,8,9,9,6,8,8,10,4,8,5,8,17
534,3,7,5,5,3,12,4,3,3,10,3,10,3,7,3,9,0
10426,3,9,3,7,3,8,8,1,8,8,7,9,1,9,4,9,3
8545,5,10,7,7,6,8,8,4,10,6,7,9,4,9,7,9,12
15604,3,5,5,3,3,9,9,4,6,11,5,8,3,7,4,11,10
7776,9,12,8,7,6,8,13,4,5,13,7,4,5,11,9,6,25
13305,7,12,9,9,7,10,8,7,8,8,7,9,7,9,5,8,21
17713,4,8,5,6,3,5,10,7,8,13,11,12,2,11,3,8,20
19207,6,9,8,7,8,9,7,7,6,8,8,11,12,7,3,10,2
9782,2,1,3,2,1,8,10,4,3,8,13,9,3,11,1,9,6
14700,2,2,3,3,2,11,7,4,6,13,6,10,2,8,2,8,4
4847,2,1,2,1,1,8,8,4,6,8,7,9,3,9,5,9,12
18854,7,12,7,7,5,9,5,4,5,13,8,12,4,10,7,10,1
2761,5,8,6,9,7,8,10,6,5,9,7,8,5,10,9,8,25
15835,3,4,3,5,2,4,9,7,11,8,6,16,1,9,7,9,13
10948,5,8,7,6,4,7,9,6,2,8,9,9,9,10,1,9,15
6243,3,6,5,5,3,7,13,3,4,9,12,9,3,11,2,9,6
3693,4,12,7,9,3,10,6,4,2,9,2,9,4,8,3,9,0
9200,6,8,8,6,4,8,8,3,11,13,8,8,2,8,7,8,19
10164,7,11,8,7,4,13,1,5,2,12,5,13,5,5,4,12,0
16765,3,8,4,5,2,5,13,9,3,11,7,4,2,11,4,9,14
16964,4,7,5,5,3,7,10,1,7,14,8,8,1,9,2,8,3
16571,8,12,9,9,5,8,8,14,3,8,11,9,10,7,1,9,2
3414,3,4,4,5,1,9,12,2,4,6,12,9,1,11,1,9,11
3616,5,8,6,6,3,6,13,5,7,13,10,4,2,11,4,5,25
16758,9,10,9,7,6,2,11,3,4,11,12,10,8,11,2,8,15
14359,3,5,5,4,2,9,7,4,7,15,7,12,2,7,2,8,4
5646,9,12,13,9,9,6,8,4,6,11,11,11,13,7,5,9,2
4049,8,11,11,8,9,9,7,2,8,10,6,10,6,8,6,9,7
4627,5,7,5,5,4,7,9,8,5,11,9,9,4,9,3,8,17
10328,5,11,6,9,3,8,8,5,15,11,7,9,1,9,9,9,19
7456,6,11,7,8,3,4,9,9,3,8,6,12,5,9,4,11,7
7864,8,16,7,9,6,12,6,5,7,12,5,8,4,10,8,14,23
14154,3,1,3,2,2,7,8,9,8,8,7,7,3,9,4,9,5
6884,3,9,3,7,2,15,4,7,6,15,1,10,1,8,1,9,4
19866,7,8,7,6,6,7,12,5,3,9,8,7,10,13,5,6,15
17626,3,4,4,2,2,9,8,3,9,11,6,8,3,9,4,9,12
12587,10,15,7,9,5,8,7,6,7,9,4,9,7,9,7,9,17
12112,5,9,6,7,4,5,9,6,7,10,9,15,4,8,5,9,20
19789,5,9,7,8,7,8,9,6,4,8,7,10,7,12,9,11,8
1491,4,8,6,6,6,9,6,5,2,8,8,9,6,10,4,8,6
8562,2,4,4,3,2,10,5,5,5,14,8,13,2,8,1,8,4
17276,5,9,6,10,7,8,9,7,4,9,10,10,5,11,7,8,23
5940,5,7,7,9,9,10,7,7,4,8,9,9,7,11,7,5,11
18512,6,6,7,8,3,5,9,9,3,8,5,12,4,9,3,12,7
13625,2,1,2,1,1,8,9,11,2,8,7,9,3,9,1,9,21
16577,6,10,9,7,10,7,8,4,3,9,7,7,4,9,12,2,18
439,6,12,7,9,6,7,9,7,12,8,8,11,2,10,9,9,19
11381,4,6,5,5,5,9,7,6,5,7,7,9,4,10,2,8,24
16172,6,12,7,9,7,8,8,6,7,7,6,9,8,10,4,8,5
8530,5,10,6,9,4,10,9,9,7,6,9,10,4,9,6,10,23
15303,5,10,6,7,6,8,7,4,6,7,7,10,3,9,9,9,12
3480,6,11,8,9,7,9,12,3,8,7,12,9,2,13,2,9,22
492,3,4,4,3,2,6,5,6,9,4,3,7,2,8,2,7,1
13935,7,12,11,9,11,7,11,2,6,11,8,6,7,11,6,3,25
677,2,4,3,2,2,6,10,5,7,12,9,11,2,10,3,9,20
18545,5,9,5,7,4,2,14,5,5,13,11,7,1,9,2,7,25
11216,4,4,5,2,2,6,9,6,7,11,10,10,4,11,3,7,24
5695,7,9,7,11,7,9,7,8,5,10,7,11,5,10,8,7,23
15581,3,4,5,3,3,10,7,5,7,11,5,7,3,9,4,9,5
4873,9,14,8,8,5,11,8,4,8,10,4,7,7,9,5,9,7
3002,7,10,10,8,5,4,9,5,9,13,13,13,4,9,5,6,7
8218,5,7,7,5,4,8,10,4,7,14,7,6,3,10,3,8,25
18329,3,8,4,6,2,7,15,1,7,9,12,9,1,9,1,9,22
12123,4,5,5,4,4,7,11,5,3,9,8,8,7,13,2,7,15
5842,3,8,4,6,2,8,6,1,8,15,8,11,1,8,2,9,3
11747,3,5,4,3,2,5,10,5,8,13,11,11,2,10,3,8,20
7616,9,10,11,9,12,8,9,7,4,8,8,10,10,11,10,10,8
9278,5,9,6,7,6,8,8,7,5,7,6,7,4,9,7,7,16
8777,8,11,7,7,5,9,6,5,6,11,7,10,6,8,8,11,16
14318,7,12,8,9,4,5,14,10,3,11,7,5,2,11,5,9,14
14506,6,12,6,7,4,8,5,4,6,12,8,13,4,8,7,9,1
17200,5,8,7,6,5,6,8,6,9,8,7,13,4,9,6,11,7
3166,4,8,5,5,3,8,7,15,2,8,8,9,4,9,1,9,21
11472,1,1,2,2,1,13,5,6,4,13,5,12,1,8,1,9,4
6863,5,6,9,5,4,9,8,2,10,12,5,8,4,9,4,9,12
3512,2,2,3,2,2,8,8,8,6,8,7,8,2,9,7,9,16
12983,8,11,10,9,7,11,6,4,7,11,3,8,6,8,6,10,21
6870,6,11,8,8,7,11,7,2,7,11,4,9,7,9,6,13,7
4867,10,14,12,8,7,14,3,7,3,13,2,10,8,3,2,9,2
15386,6,11,8,8,9,8,5,6,4,9,7,12,8,8,11,7,8
14848,3,2,3,2,2,6,11,5,5,11,10,6,2,11,3,8,25
18429,6,9,8,7,7,9,6,8,6,8,7,7,5,9,7,11,14
12912,5,9,6,7,5,9,8,6,9,6,7,8,1,9,9,9,18
5098,4,5,6,4,4,8,12,3,3,7,10,9,7,12,1,9,15
6887,6,10,7,8,4,10,6,5,7,16,5,11,1,8,2,8,4
2094,5,5,6,4,3,5,9,6,8,12,11,10,4,10,2,8,24
3827,3,5,4,3,3,6,11,5,6,11,10,6,2,11,4,7,25
13874,3,4,4,3,3,8,8,6,6,7,6,7,3,9,6,10,16
18387,4,9,4,7,3,4,8,7,11,8,7,15,1,9,8,9,13
14776,5,6,7,5,6,9,10,6,8,8,8,9,4,11,8,8,22
5288,5,9,6,7,4,9,8,9,5,8,7,7,4,9,4,8,17
201,4,3,5,4,3,7,11,5,6,11,10,6,3,10,4,7,25
9685,5,10,6,7,4,6,13,9,4,8,4,10,4,8,7,12,10
1795,3,8,4,6,4,10,7,2,5,9,6,6,4,9,6,8,3
16120,6,12,9,9,6,11,2,3,4,9,3,9,5,9,5,10,0
6058,2,1,3,2,1,3,2,7,5,1,3,6,1,9,1,9,1
1878,12,14,9,8,6,10,7,6,7,12,5,10,7,8,8,12,16
17799,5,11,6,9,5,7,6,4,2,7,2,9,3,8,3,8,0
7628,4,8,5,6,3,8,8,1,8,14,7,9,1,9,2,8,3
14807,5,7,7,5,6,6,9,5,6,7,8,9,6,11,5,9,22
5036,3,3,4,4,2,8,9,8,8,9,11,8,4,10,2,9,24
18347,6,11,8,8,7,9,8,4,6,7,8,7,5,11,12,9,12
1039,2,1,3,2,2,7,10,8,4,8,6,8,3,8,5,11,10
10669,3,8,4,6,4,9,9,9,7,9,5,7,3,7,9,9,18
639,5,7,5,5,3,4,12,5,4,11,13,8,3,11,2,9,6
8461,5,6,6,4,3,5,13,3,4,10,12,8,5,12,2,8,6
3502,6,10,7,7,6,8,7,4,6,7,7,10,4,8,11,10,12
12550,7,10,7,8,5,6,8,8,9,9,7,10,4,10,4,5,24
14692,4,7,6,5,8,10,8,5,3,8,7,9,9,12,2,7,15
12866,4,3,4,5,4,7,10,5,5,10,9,5,5,11,4,8,14
14460,8,11,10,9,10,9,8,7,6,7,8,9,9,7,3,8,2
15062,5,8,5,10,5,9,9,7,3,9,9,11,4,10,7,8,23
15738,4,5,5,4,2,6,14,4,7,12,10,5,2,12,2,6,22
4814,5,7,5,5,3,3,12,5,4,13,12,9,3,12,2,8,6
6355,3,2,3,3,2,8,8,4,13,9,7,9,1,9,8,9,19
18085,5,6,7,5,5,10,9,4,5,7,8,8,5,10,5,7,0
9551,8,12,11,9,12,6,9,4,6,7,6,11,9,10,10,7,10
8085,6,7,7,7,7,9,10,5,6,8,8,9,5,11,10,11,18
7191,7,10,9,8,7,9,5,10,6,8,5,9,4,9,5,9,23
9092,7,9,9,12,13,9,10,5,3,8,9,10,5,12,10,9,11
1335,3,4,4,5,2,8,8,5,5,8,7,9,4,9,5,9,12
5242,6,13,5,7,3,10,4,5,5,10,3,9,4,7,5,9,18
8103,5,8,6,6,4,7,9,4,7,11,9,9,3,9,6,6,18
9026,6,10,7,7,6,6,9,10,8,8,8,7,3,9,4,9,5
6953,5,3,6,5,4,6,11,6,5,11,9,5,2,11,4,8,14
10209,8,10,10,9,11,8,9,6,7,9,7,9,8,8,9,9,6
9789,6,11,7,10,6,9,9,8,5,6,9,10,4,9,6,11,23
19468,3,4,4,6,3,9,9,9,7,6,8,10,3,8,6,12,8
12024,3,2,4,2,3,8,8,5,6,7,6,8,3,7,5,9,10
19573,5,6,5,8,3,4,9,9,3,8,5,12,5,9,4,11,7
1871,7,12,7,9,5,6,13,10,4,8,4,10,4,8,7,12,10
19550,5,9,7,7,6,6,9,6,8,12,10,10,4,9,6,6,13
18784,6,10,7,8,4,7,9,12,11,9,8,7,4,9,5,9,5
11150,4,10,7,8,6,8,6,3,4,6,3,7,5,6,6,6,0
3772,5,9,6,7,4,7,14,9,5,8,3,10,4,8,7,11,10
15507,4,8,6,6,6,8,9,4,5,9,8,9,7,10,6,5,9
1688,6,9,7,7,6,9,8,7,4,8,7,11,5,9,9,10,13
7893,13,16,10,9,6,10,7,7,6,11,3,9,8,7,7,12,10
65,7,12,10,9,6,7,10,2,8,7,13,10,3,12,3,9,11
11660,3,7,4,5,2,16,4,4,6,13,2,9,1,9,1,9,4
10575,4,8,5,6,3,6,9,7,8,12,9,14,2,10,4,9,20
13543,7,8,8,9,7,10,10,6,6,7,7,11,4,8,9,6,4
15382,5,12,6,9,4,8,8,10,8,8,7,9,4,9,5,9,17
5593,3,8,5,6,3,12,3,4,4,11,3,10,3,7,4,9,0
9,4,4,5,5,4,8,9,6,4,9,9,11,4,10,6,9,23
11665,4,10,6,8,3,8,12,4,5,10,13,9,4,11,2,10,6
7465,5,9,7,7,6,9,7,3,5,10,7,9,8,7,3,9,2
9653,5,7,6,5,3,5,9,6,7,11,10,10,4,10,3,8,24
12803,4,7,6,5,5,8,8,5,4,8,8,11,6,11,4,9,20
15871,8,10,11,8,9,11,7,4,7,11,4,9,6,8,6,10,21
14611,7,11,7,6,4,12,4,5,4,13,6,10,3,11,3,10,18
10401,6,11,6,9,4,4,12,6,5,13,13,9,3,11,2,9,6
5373,6,7,8,5,4,10,9,5,7,13,5,6,3,10,5,10,14
17944,3,9,3,7,3,8,8,1,8,8,7,9,1,9,4,9,3
11562,6,12,8,9,9,8,8,7,7,7,7,6,7,9,4,8,5
18461,3,5,5,4,2,10,7,3,7,15,6,11,1,8,1,8,4
14120,7,9,10,8,11,7,9,6,4,7,6,9,14,10,6,9,2
3760,4,7,5,5,3,8,5,15,6,8,14,9,4,10,1,9,24
4615,5,8,7,6,4,5,9,6,2,8,10,9,9,11,1,9,15
18396,4,6,5,8,3,8,8,9,8,6,7,11,3,8,6,12,8
13231,5,9,7,7,4,9,7,4,11,13,5,11,2,9,7,10,19
6667,7,9,9,10,8,9,10,6,6,8,8,10,5,7,10,7,4
1132,7,11,7,6,4,13,4,4,8,12,3,9,3,10,6,14,23
8483,4,5,5,4,3,5,11,3,8,11,11,7,3,12,5,4,11
17320,3,8,5,6,3,7,12,6,5,11,9,4,2,11,5,7,14
16869,4,3,5,5,4,9,9,7,7,8,7,9,4,9,4,10,21
18560,5,5,6,8,3,8,8,9,9,7,7,12,2,9,6,12,8
2220,4,6,6,4,4,8,9,7,8,8,6,9,4,9,4,9,21
15010,7,12,8,9,4,10,6,4,8,16,5,11,1,7,2,8,4
15841,7,11,8,9,6,6,8,6,6,10,10,10,3,9,6,9,8
11375,1,1,2,1,1,6,8,6,7,8,7,13,1,9,7,11,13
6868,5,9,7,7,5,8,8,4,10,6,7,9,4,9,8,9,12
143,3,7,5,5,3,10,12,2,8,6,12,8,2,11,2,9,22
15774,4,8,5,6,3,8,8,8,11,9,7,15,2,10,5,10,20
18141,7,11,10,9,8,11,10,7,6,8,7,9,5,10,11,8,19
6067,4,9,5,7,3,8,8,1,8,14,7,9,1,9,2,8,3
6147,2,4,4,2,2,8,12,2,7,8,12,9,2,12,2,9,11
15761,7,11,8,6,5,10,4,3,3,10,5,10,9,3,3,10,2
6191,8,9,6,12,5,8,7,7,6,11,8,8,4,10,10,8,19
4107,6,12,7,9,6,10,8,6,8,11,5,6,4,9,4,9,5
494,7,9,10,7,7,12,7,3,6,10,4,7,10,8,3,10,2
7103,6,9,8,7,7,9,9,7,7,10,6,5,6,9,5,10,5
7853,6,12,8,9,6,5,9,2,9,10,11,11,3,10,4,6,12
5128,6,11,6,8,4,4,9,6,8,12,11,14,2,10,4,9,20
13457,5,9,6,8,6,8,7,5,6,8,8,9,5,10,10,12,1
12637,7,9,7,7,4,6,13,3,9,13,10,5,2,12,3,5,22
7780,4,4,5,3,3,6,11,4,3,10,10,8,6,12,2,8,15
6896,10,15,8,9,6,10,6,6,4,10,7,9,5,10,9,9,8
13732,5,8,6,6,4,6,13,6,6,12,10,4,1,10,5,7,14
9647,4,6,4,5,3,6,11,5,6,11,10,6,2,11,4,8,25
5801,10,12,7,16,7,6,12,4,4,13,9,7,4,10,12,6,19
1697,5,8,5,6,3,10,11,7,10,6,7,7,1,8,9,10,18
3959,12,14,10,8,5,6,10,6,7,4,4,13,7,12,3,8,9
12291,4,7,5,5,5,7,8,4,8,7,7,10,4,9,7,11,7
4913,9,14,8,8,4,7,5,4,8,11,5,14,4,6,7,9,1
18206,7,10,10,7,6,10,7,3,8,11,4,9,7,9,7,11,7
2985,3,4,4,3,2,8,13,3,3,8,12,9,3,11,2,9,6
3777,10,15,9,9,6,8,6,5,10,11,5,10,4,8,10,10,23
8945,5,5,6,4,3,5,10,6,8,12,11,10,4,10,3,8,24
12723,4,5,5,4,3,9,7,8,5,10,6,9,3,9,4,9,17
8433,7,9,10,7,6,5,11,4,5,11,11,9,6,9,2,9,9
13643,1,7,1,5,1,8,8,6,4,8,7,9,1,9,1,9,3
5090,8,12,8,9,7,7,7,7,7,11,8,13,3,10,5,11,8
5057,3,5,5,4,3,7,9,3,9,12,8,10,3,9,5,9,13
18708,5,4,5,3,3,5,11,3,3,10,10,8,6,12,2,7,15
16117,5,8,5,6,4,8,8,8,5,10,8,11,4,9,4,10,17
1375,3,3,5,4,3,9,3,3,3,9,3,9,3,7,4,8,0
13686,5,6,6,5,4,5,8,6,9,8,7,14,4,9,6,10,7
14422,5,7,7,5,6,8,9,6,5,7,7,9,5,8,8,8,8
15564,5,7,7,10,10,9,7,6,2,8,7,8,9,9,7,8,14
15256,6,10,6,8,6,7,9,9,5,7,6,8,4,9,7,14,10
15727,7,11,9,9,6,6,9,5,10,13,10,10,4,9,6,7,13
4737,6,10,6,8,4,5,9,7,9,13,11,13,2,10,4,8,20
16386,6,11,7,9,6,8,8,9,8,7,4,7,4,9,6,10,17
11410,4,8,6,6,8,9,10,6,2,8,8,9,8,10,3,9,15
18632,6,6,7,9,5,6,11,10,4,8,6,9,4,9,7,12,10
3354,4,4,4,3,2,6,9,6,8,10,9,9,4,10,3,6,24
18168,10,13,8,8,4,10,12,6,7,4,6,10,6,9,3,8,9
14856,3,7,5,5,2,7,9,5,3,9,14,9,4,11,1,9,6
6761,4,9,6,7,4,9,4,3,3,7,2,9,3,7,3,8,0
5971,4,9,6,7,5,7,7,7,6,6,8,11,3,9,5,10,8
7530,4,7,6,9,3,6,16,2,7,10,12,8,1,9,1,9,22
3358,10,15,9,9,6,8,5,7,4,9,6,5,5,9,7,7,8
3615,2,1,2,1,1,9,8,7,4,7,7,9,3,9,4,9,23
14646,7,11,8,9,5,9,8,14,3,7,10,9,10,7,1,9,2
13098,5,8,6,6,4,9,8,13,2,8,10,9,9,7,1,9,2
6043,5,7,7,5,4,7,9,3,10,12,9,10,3,9,5,8,13
2082,5,10,5,7,5,4,10,6,11,8,7,15,1,9,7,9,13
19848,5,7,6,5,6,9,10,5,5,9,6,7,4,10,10,8,18
10875,5,7,7,5,7,10,10,5,5,6,8,8,8,13,7,9,16
10075,5,10,7,8,8,9,9,6,2,8,8,10,9,10,5,10,17
7433,10,14,8,8,4,8,12,6,7,9,11,6,5,12,5,8,6
19282,4,10,6,7,3,8,10,1,9,15,7,6,1,10,3,8,3
13992,5,11,6,10,6,9,8,8,6,7,9,9,4,8,7,12,23
1832,5,10,6,9,4,9,7,10,6,7,7,9,4,9,6,10,23
13963,4,6,5,5,5,6,9,3,5,9,8,10,3,8,8,9,12
9500,6,9,6,7,4,4,11,3,8,12,12,7,2,12,3,6,11
6966,5,9,5,7,4,7,8,11,11,8,7,7,4,9,5,9,5
10807,2,1,3,2,2,9,8,7,5,7,7,10,3,9,4,9,23
3682,2,1,3,1,1,8,8,4,5,8,7,9,4,9,5,9,12
13759,5,8,7,6,7,7,7,6,6,8,8,12,11,6,3,10,2
12270,3,3,4,4,3,7,12,6,5,11,8,3,2,11,5,7,14
15693,3,7,5,5,4,7,8,6,6,7,6,8,4,8,6,9,10
9491,6,12,8,9,10,10,9,6,5,8,6,6,8,12,10,5,9
17465,3,5,5,4,4,9,8,5,6,9,6,8,4,8,5,12,10
9002,4,8,7,6,4,5,9,4,7,11,11,10,4,9,4,7,21
19038,6,11,6,8,4,4,8,7,12,8,7,15,1,9,9,8,13
11943,6,6,7,9,5,9,10,7,11,6,7,7,1,8,10,8,18
17453,4,5,5,7,3,9,8,7,10,5,7,8,1,9,10,9,18
9327,5,7,6,5,5,11,7,3,7,12,5,10,3,9,5,13,13
13891,4,6,6,5,3,7,12,3,7,15,8,5,2,11,3,8,25
2194,6,10,7,8,4,8,8,5,16,10,7,9,1,9,9,9,19
3882,12,14,11,8,6,9,10,5,7,10,6,8,7,9,6,10,21
7636,7,11,8,9,5,9,8,5,9,12,7,8,3,9,6,9,18
19187,3,4,5,5,1,8,11,3,3,9,13,9,2,12,1,9,11
18862,4,5,6,4,3,8,10,4,5,11,7,7,6,10,1,8,9
16843,5,8,7,6,5,8,10,3,10,12,9,6,2,9,7,6,19
10105,6,12,7,9,3,8,8,6,5,8,7,9,4,9,5,9,12
13484,6,12,8,9,9,6,8,6,5,8,6,9,5,7,11,9,7
4506,7,13,6,8,5,8,11,4,6,12,7,5,4,11,8,7,25
11579,5,12,8,9,7,9,9,3,7,8,7,7,7,11,10,9,12
5395,5,9,7,7,9,8,7,6,4,7,7,9,8,8,10,10,21
6859,6,9,8,8,8,6,11,5,7,9,8,11,5,12,8,8,13
19850,4,3,5,4,4,9,12,3,3,7,9,9,7,12,1,9,15
7326,7,10,7,7,6,7,12,5,7,12,10,6,4,13,3,5,22
8466,6,12,6,7,5,9,9,3,5,11,6,7,5,10,8,8,25
5048,5,11,6,9,4,4,10,7,13,8,6,15,1,9,9,8,13
573,3,5,4,4,4,8,9,6,6,8,7,7,3,9,7,10,16
10666,4,5,4,6,3,6,12,8,5,8,4,10,4,8,7,12,10
4276,5,7,6,9,6,8,10,6,4,9,10,10,5,11,7,8,23
1819,5,9,6,7,4,8,8,8,8,11,8,13,3,10,5,10,8
8720,7,12,9,9,5,9,7,5,7,16,7,12,2,7,2,8,4
5088,6,11,8,8,7,7,8,5,8,7,7,10,8,9,6,10,7
19315,6,8,8,6,6,10,8,4,6,11,4,8,4,7,5,11,10
13504,3,6,3,4,2,5,4,4,8,3,3,7,1,8,1,7,1
15737,5,12,7,9,8,9,8,6,7,8,8,5,4,9,4,7,5
19045,10,14,10,8,6,6,10,3,3,8,11,9,11,13,2,7,15
16450,3,6,5,5,3,9,12,2,8,7,12,9,2,12,3,10,11
15583,5,8,7,6,4,9,8,8,7,7,7,5,7,10,3,6,9
12813,6,11,8,9,6,10,5,6,7,9,6,7,3,9,5,7,4
2556,4,6,7,5,3,7,14,4,4,9,12,9,4,11,2,9,6
19669,5,11,6,9,5,7,7,11,8,7,8,8,3,9,10,10,16
9137,6,10,8,8,4,8,9,2,10,11,7,9,4,9,5,8,12
16160,2,8,2,6,2,9,8,1,9,8,7,8,1,9,4,8,3
7717,4,2,4,3,3,9,8,7,6,8,8,9,3,10,10,9,18
12512,4,10,6,8,4,13,4,5,4,11,2,10,3,8,4,10,0
5333,6,11,9,9,9,11,7,3,6,10,6,7,6,10,5,8,25
16903,7,11,10,9,8,11,7,3,6,10,5,8,9,7,3,9,2
10735,5,8,5,6,4,9,8,13,2,7,7,9,6,9,1,10,9
18348,1,8,1,6,1,8,8,5,5,8,7,9,1,9,1,9,3
17064,4,5,6,4,4,6,7,4,5,10,10,11,8,6,3,9,2
3102,3,9,5,7,2,9,9,5,3,8,14,9,4,11,1,9,6
14095,2,12,1,9,1,8,8,5,5,8,7,9,1,9,1,9,3
2516,7,12,8,9,5,8,7,8,8,12,7,14,4,10,6,9,8
6185,6,11,7,9,4,9,9,7,10,6,7,8,1,9,10,9,18
5913,6,12,7,9,8,8,9,7,3,7,7,11,5,9,8,8,8
16789,2,4,3,3,2,9,8,7,4,9,7,9,3,9,3,9,17
7593,3,5,5,4,3,8,9,3,10,12,8,8,2,9,6,7,19
10588,6,6,8,9,5,10,9,5,3,8,9,9,10,10,1,9,15
3779,9,13,8,7,5,10,9,4,8,10,5,7,7,10,5,9,7
13581,4,9,5,7,3,8,8,5,14,11,7,9,1,9,9,9,19
14663,8,10,11,7,8,6,7,4,6,10,11,11,9,6,3,8,2
19760,6,9,8,7,6,11,7,4,8,11,5,8,3,9,6,12,16
2557,5,9,5,7,3,6,8,12,9,8,7,6,4,9,5,9,5
4239,4,4,5,3,3,9,7,7,4,7,8,9,7,7,2,8,2
12499,6,10,7,7,5,9,7,9,5,8,5,9,4,9,4,9,17
17870,4,3,5,4,3,7,11,5,7,11,9,6,5,10,4,8,25
19684,2,1,3,2,1,9,10,4,3,8,13,9,3,12,1,9,6
9355,3,5,4,5,4,9,9,7,4,9,7,10,3,10,5,10,23
17225,7,10,10,9,9,8,10,5,5,8,5,8,10,8,7,7,9
9328,9,14,9,8,5,12,8,5,6,10,5,6,7,10,5,9,21
